# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.017969;0.000031;0.005273;3.375000;0.100000;8100.000000;1.012500;0.000800;64.000000;0.042187;512000.000000;2.277100;0.063400;2.233351;0.079182
0.017969;0.000031;0.005273;1.687500;0.300000;8100.000000;0.337500;0.000800;32.000000;0.126562;256000.000000;1.208800;0.098100;0.934500;0.100726
0.010781;0.000031;0.005273;1.687500;0.100000;8100.000000;1.012500;0.004000;32.000000;0.042187;256000.000000;1.267100;0.006100;1.277139;0.056119
0.010781;0.000031;0.001758;3.375000;0.300000;8100.000000;0.337500;0.008000;64.000000;0.042187;512000.000000;1.962300;0.110100;1.882920;0.099069
0.035937;0.000094;0.001758;3.375000;0.100000;8100.000000;3.375000;0.008000;64.000000;0.210938;512000.000000;2.121500;0.213300;2.122192;0.073088
0.017969;0.000031;0.008788;1.687500;0.100000;8100.000000;1.012500;0.000800;32.000000;0.042187;256000.000000;1.018800;0.054900;1.199592;0.068917
0.035937;0.000094;0.005273;3.375000;1.000000;8100.000000;0.337500;0.008000;64.000000;0.042187;512000.000000;0.254600;0.037400;0.304665;0.096935
0.003594;0.000094;0.005273;1.012500;0.100000;13500.000000;0.337500;0.000800;19.200000;0.042187;256000.000000;0.781600;0.022300;0.810270;0.060339
0.010781;0.000157;0.001758;3.375000;0.300000;8100.000000;1.687500;0.004000;64.000000;0.042187;512000.000000;2.077100;0.177300;2.136984;0.067781
0.010781;0.000157;0.001758;3.375000;0.100000;8100.000000;1.687500;0.008000;64.000000;0.042187;512000.000000;2.653200;0.126200;2.573680;0.057759
0.003594;0.000031;0.001758;3.375000;1.000000;8100.000000;1.012500;0.004000;64.000000;0.042187;512000.000000;0.170700;0.029100;0.290236;0.099043
0.017969;0.000094;0.005273;3.375000;0.100000;8100.000000;1.687500;0.000800;64.000000;0.210938;512000.000000;2.328500;0.091600;2.188424;0.096329
0.017969;0.000157;0.005273;3.375000;0.100000;8100.000000;3.375000;0.004000;64.000000;0.210938;512000.000000;2.390600;0.148100;2.309865;0.051566
0.035937;0.000314;0.017576;3.375000;0.100000;27000.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;0.035400;0.063000;0.132414;0.097180
0.010781;0.000031;0.001758;1.687500;0.100000;8100.000000;0.337500;0.004000;32.000000;0.042187;256000.000000;1.069100;0.022400;1.216816;0.081731
0.017969;0.000157;0.001758;1.012500;0.500000;8100.000000;0.337500;0.004000;32.000000;0.126562;51200.000000;0.371400;0.015400;0.353103;0.051998
0.003594;0.000031;0.005273;3.375000;0.100000;8100.000000;1.687500;0.008000;64.000000;0.042187;512000.000000;2.643700;0.059200;2.494425;0.134318
0.035937;0.000157;0.005273;3.375000;0.100000;8100.000000;3.375000;0.002400;64.000000;0.042187;512000.000000;2.662800;0.039200;2.526729;0.095115
0.003594;0.000094;0.001758;1.687500;0.300000;2700.000000;0.337500;0.000800;19.200000;0.042187;51200.000000;0.500500;0.012500;0.597621;0.131201
0.003594;0.000157;0.001758;1.687500;0.100000;13500.000000;1.012500;0.000800;6.400000;0.042187;256000.000000;0.592200;0.055000;0.699904;0.084680
0.035937;0.000031;0.005273;3.375000;0.100000;8100.000000;3.375000;0.000800;64.000000;0.210938;512000.000000;1.972500;0.168200;2.094783;0.051848
0.017969;0.000157;0.005273;1.687500;0.100000;8100.000000;0.337500;0.004000;32.000000;0.042187;256000.000000;0.982400;0.017300;1.136554;0.069073
0.003594;0.000031;0.005273;3.375000;1.000000;8100.000000;1.012500;0.002400;64.000000;0.042187;512000.000000;0.254700;0.046000;0.280253;0.067719
0.003594;0.000314;0.008788;3.375000;0.100000;8100.000000;3.375000;0.002400;64.000000;0.042187;512000.000000;2.738800;0.126300;2.654772;0.098998
0.010781;0.000314;0.005273;3.375000;0.100000;8100.000000;3.375000;0.004000;64.000000;0.126562;512000.000000;2.492100;0.137000;2.535083;0.057403
0.003594;0.000094;0.008788;1.687500;0.300000;13500.000000;0.337500;0.004000;32.000000;0.042187;256000.000000;1.003100;0.084400;0.805217;0.110014
0.003594;0.000157;0.005273;3.375000;1.000000;8100.000000;1.012500;0.004000;64.000000;0.042187;512000.000000;0.333000;0.046900;0.394350;0.064723
0.035937;0.000314;0.005273;3.375000;0.300000;8100.000000;1.012500;0.002400;64.000000;0.042187;512000.000000;2.104000;0.097100;2.067409;0.092035
0.003594;0.000157;0.001758;3.375000;0.100000;8100.000000;3.375000;0.000800;64.000000;0.042187;512000.000000;2.429700;0.101600;2.549656;0.120281
0.010781;0.000157;0.005273;1.687500;0.300000;13500.000000;1.012500;0.000800;32.000000;0.042187;256000.000000;1.088800;0.046800;0.930203;0.065145
0.010781;0.000157;0.008788;0.337500;0.300000;2700.000000;0.337500;0.002400;19.200000;0.126562;51200.000000;0.611900;0.038000;0.524137;0.122765
0.017969;0.000094;0.005273;1.012500;0.300000;8100.000000;1.012500;0.004000;6.400000;0.126562;153600.000000;0.344800;0.236200;0.326263;0.059518
