Name,Mean,Std
nad,0.05755360312679887,0.01745697407399779
folinic_acid,0.07163152561855676,0.03718656431884695
coa,-0.2639123050787321,0.11623824986554465
nucleo_mix,-0.4353105627997005,0.4846186980362682
spermidin,-1.6248861265009036,0.0632672963608214
pga,-1.0355851330353585,0.36109786805158045
aa,0.4380589653869545,0.027749178426989582
trna,-0.14590978133507987,0.041642238899824095
mg_gluta,0.6509183827042022,0.17064926922271884
camp,-0.34568147813907313,0.08233254073597039
K_gluta,0.9684895111201157,0.30093569973237205
intercept,1.1130049958795754,0.22570639165631906
