nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,29483,29872,29984,E19,E22,F3,29779.7,214.7,1.5052,0.0118,example
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,32932,32911,32420,F4,F5,F6,32754.3,236.6,1.668,0.0129,example
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,28248,28891,29107,F7,F8,F9,28748.7,364.8,1.4488,0.02,example
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,8,10,11540,12351,12679,F10,F12,F14,12190,478.7,0.5425,0.0262,example
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,21112,21613,21151,F11,F13,F15,21292,227.5,1.0407,0.0125,example
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,4640,4561,4572,F16,F17,F18,4591,34.9,0.1266,0.0019,example
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,24,10,13200,12793,12411,F19,F20,F21,12801.3,322.2,0.576,0.0176,example
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,40,10,18192,17612,16275,F22,F23,G2,17359.7,802.7,0.8255,0.0439,example
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,19776,20017,19169,G3,G4,G5,19654,356.8,0.951,0.0195,example
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,80,10,23618,23927,22518,G6,G8,G10,23354.3,604.7,1.1536,0.0331,example
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,24,10,14699,14731,14483,G7,G9,G11,14637.7,110.1,0.6765,0.006,example
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,40,10,17848,18809,17761,G12,G13,G14,18139.3,474.9,0.8681,0.026,example
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,40,10,21932,19939,21040,G15,G16,G17,20970.3,815.1,1.0231,0.0446,example
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,22312,20834,22193,G18,G19,G20,21779.7,670.4,1.0674,0.0367,example
