name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
C14,3.52,0.125,0.025,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.0625,0.0625,0.0675,0.0375,1.75,0.0,0.0,0.0,3.6375
C15,3.52,0.125,0.025,0.2625,0.525,0.25,0.0625,0.0125,0.0625,0.0375,0.0625,0.0625,0.0675,0.0375,1.75,0.0,0.0,0.0,3.6375
C16,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C17,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C18,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C19,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C20,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0125,0.0625,0.0125,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C21,3.52,0.125,0.125,0.2625,0.525,0.25,0.0625,0.0125,0.0125,0.0375,0.0125,0.0375,0.1125,0.0375,1.75,0.0,0.0,0.0,3.6175
C22,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6125000000000003
C23,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6125000000000003
D2,3.52,0.125,0.125,0.2625,0.525,0.25,0.0125,0.0375,0.0625,0.0375,0.0125,0.0375,0.0675,0.0625,1.75,0.0,0.0,0.0,3.6125000000000003
