nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,name
0.033,0.0068,50,0.026,10,2,0.45,0.3,15,0.15,0.1,2,50,0.225,40,10,C21
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,C22
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,C23
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D2
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,40,10,D3
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,40,10,D4
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,40,10,D5
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,40,10,D6
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,40,10,D7
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,40,10,D8
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D9
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D10
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,D11
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D12
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D13
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,D14
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D15
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,40,10,D16
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,D17
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,40,10,D18
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,D19
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,40,10,D20
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,D21
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,40,10,D22
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,D23
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,40,10,E2
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,40,10,E3
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,40,10,E4
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E5
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E6
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E7
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E8
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E9
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E10
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E11
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E12
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,E13
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E14
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E15
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,80,10,E16
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,80,10,E17
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,80,10,E18
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,E19
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,80,10,E20
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,80,10,E21
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,E22
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,80,10,E23
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,80,10,F2
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,F3
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,F4
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,F5
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,80,10,F6
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,F7
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,F8
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,F9
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,8,10,F10
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,F11
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,8,10,F12
