Name,Mean,Std
nad,-0.18057478476627403,0.027198868342561355
folinic_acid,0.028947012036605636,0.06162926842678389
coa,-0.19603160739763584,0.03862452846450071
nucleo_mix,-0.0727542085453959,0.28243074600958734
spermidin,-0.957777174418171,0.028309003812579947
pga,-0.27687659466788556,0.1234914837121386
aa,-0.0726123929111459,0.055692108541829204
trna,-0.0483834026812922,0.022534245121376865
mg_gluta,0.2527472915964048,0.12620688735899308
camp,-0.29012577368121917,0.06804984326760258
K_gluta,0.1645937214023442,0.18925712374147988
intercept,1.4631861928223093,0.04435907653783632
