nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,1.1124,0.0423,spectinomycin,G12,0.19686,0.006345,0.2342634,0.00755055
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,1.1234,0.0113,spectinomycin,I13,0.19851,0.001695,0.2362269,0.00201705
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.1381,0.0475,spectinomycin,C22,0.200715,0.007125,0.23885085,0.00847875
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,1.141,0.0356,spectinomycin,H21,0.20115,0.00534,0.2393685,0.0063546
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,1.152,0.0393,spectinomycin,B17,0.2028,0.005895,0.241332,0.00701505
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,1.1602,0.0438,spectinomycin,F22,0.20403,0.00657,0.2427957,0.0078183
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.1649,0.0238,spectinomycin,H14,0.204735,0.00357,0.24363465,0.0042483
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,1.1651,0.0375,spectinomycin,B8,0.204765,0.005625,0.24367035,0.00669375
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.167,0.0184,spectinomycin,N21,0.20505,0.00276,0.2440095,0.0032844
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,20,10,1.1736,0.0184,spectinomycin,D18,0.20604,0.00276,0.2451876,0.0032844
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,1.1784,0.0637,spectinomycin,F10,0.20676,0.009555,0.2460444,0.01137045
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.1855,0.0362,spectinomycin,J6,0.207825,0.00543,0.24731175,0.0064617
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.1868,0.0242,spectinomycin,G3,0.20802,0.00363,0.2475438,0.0043197
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,1.1875,0.0978,spectinomycin,N9,0.208125,0.01467,0.24766875,0.0174573
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,1.1888,0.145,spectinomycin,L19,0.20832,0.02175,0.2479008,0.0258825
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,1.1897,0.0735,spectinomycin,H23,0.208455,0.011025,0.24806145,0.01311975
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.1976,0.0457,spectinomycin,D10,0.20964,0.006855,0.2494716,0.00815745
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,1.199,0.1146,spectinomycin,B14,0.20985,0.01719,0.2497215,0.0204561
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,1.1995,0.0628,spectinomycin,H20,0.209925,0.00942,0.24981075,0.0112098
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.2017,0.074,spectinomycin,D3,0.210255,0.0111,0.25020345,0.013209
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,1.2059,0.0169,spectinomycin,K3,0.210885,0.002535,0.25095315,0.00301665
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.2073,0.0532,spectinomycin,G15,0.211095,0.00798,0.25120305,0.0094962
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,1.2107,0.1023,spectinomycin,L20,0.211605,0.015345,0.25180995,0.01826055
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.2109,0.0354,spectinomycin,K11,0.211635,0.00531,0.25184565,0.0063189
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.2151,0.0634,spectinomycin,C16,0.212265,0.00951,0.25259535,0.0113169
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.2178,0.0586,spectinomycin,D11,0.21267,0.00879,0.2530773,0.0104601
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,1.22,0.0512,spectinomycin,M15,0.213,0.00768,0.25347,0.0091392
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,1.2201,0.1439,spectinomycin,L12,0.213015,0.021585,0.25348785,0.02568615
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,1.2229,0.1173,spectinomycin,O4,0.213435,0.017595,0.25398765,0.02093805
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,1.2252,0.0179,spectinomycin,J3,0.21378,0.002685,0.2543982,0.00319515
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,1.2269,0.0461,spectinomycin,B20,0.214035,0.006915,0.25470165,0.00822885
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,1.2274,0.0173,spectinomycin,K17,0.21411,0.002595,0.2547909,0.00308805
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.2387,0.0618,spectinomycin,K14,0.215805,0.00927,0.25680795,0.0110313
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,20,10,1.2452,0.0501,spectinomycin,E2,0.21678,0.007515,0.2579682,0.00894285
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,1.2574,0.0396,spectinomycin,O7,0.21861,0.00594,0.2601459,0.0070686
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.2596,0.1066,spectinomycin,H22,0.21894,0.01599,0.2605386,0.0190281
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.2691,0.0587,spectinomycin,H4,0.220365,0.008805,0.26223435,0.01047795
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.2773,0.0804,spectinomycin,H3,0.221595,0.01206,0.26369805,0.0143514
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.2818,0.0723,spectinomycin,L2,0.22227,0.010845,0.2645013,0.01290555
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,1.2822,0.0404,spectinomycin,G18,0.22233,0.00606,0.2645727,0.0072114
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,1.2891,0.0314,spectinomycin,G6,0.223365,0.00471,0.26580435,0.0056049
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.2914,0.0742,spectinomycin,M21,0.22371,0.01113,0.2662149,0.0132447
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.296,0.0492,spectinomycin,H11,0.2244,0.00738,0.267036,0.0087822
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.3032,0.0346,spectinomycin,E8,0.22548,0.00519,0.2683212,0.0061761
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.3076,0.0356,spectinomycin,H2,0.22614,0.00534,0.2691066,0.0063546
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.3103,0.1068,spectinomycin,E19,0.226545,0.01602,0.26958855,0.0190638
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.3196,0.0443,spectinomycin,N2,0.22794,0.006645,0.2712486,0.00790755
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.3207,0.0522,spectinomycin,K20,0.228105,0.00783,0.27144495,0.0093177
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.3216,0.0682,spectinomycin,K23,0.22824,0.01023,0.2716056,0.0121737
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,1.3234,0.0664,spectinomycin,C4,0.22851,0.00996,0.2719269,0.0118524
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.3269,0.0457,spectinomycin,L11,0.229035,0.006855,0.27255165,0.00815745
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,20,10,1.3375,0.0269,spectinomycin,F11,0.230625,0.004035,0.27444375,0.00480165
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.3393,0.0299,spectinomycin,M18,0.230895,0.004485,0.27476505,0.00533715
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,1.3462,0.0684,spectinomycin,N5,0.23193,0.01026,0.2759967,0.0122094
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,1.3506,0.0699,spectinomycin,L3,0.23259,0.010485,0.2767821,0.01247715
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.3652,0.0598,spectinomycin,C5,0.23478,0.00897,0.2793882,0.0106743
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.3663,0.031,spectinomycin,E9,0.234945,0.00465,0.27958455,0.0055335
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,1.3711,0.0877,spectinomycin,L10,0.235665,0.013155,0.28044135,0.01565445
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,1.3777,0.0593,spectinomycin,O13,0.236655,0.008895,0.28161945,0.01058505
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,1.3801,0.0934,spectinomycin,M3,0.237015,0.01401,0.28204785,0.0166719
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.3825,0.095,spectinomycin,P6,0.237375,0.01425,0.28247625,0.0169575
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.3852,0.0208,spectinomycin,C9,0.23778,0.00312,0.2829582,0.0037128
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.3911,0.0683,spectinomycin,I19,0.238665,0.010245,0.28401135,0.01219155
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,40,10,1.3953,0.02,spectinomycin,M4,0.239295,0.003,0.28476105,0.00357
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.3982,0.086,spectinomycin,P7,0.23973,0.0129,0.2852787,0.015351
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.4038,0.044,spectinomycin,I20,0.24057,0.0066,0.2862783,0.007854
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,1.4119,0.0388,spectinomycin,N7,0.241785,0.00582,0.28772415,0.0069258
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.4252,0.0307,spectinomycin,M10,0.24378,0.004605,0.2900982,0.00547995
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,40,10,1.4289,0.0359,spectinomycin,E18,0.244335,0.005385,0.29075865,0.00640815
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.4328,0.0269,spectinomycin,F4,0.24492,0.004035,0.2914548,0.00480165
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.4355,0.0291,spectinomycin,E5,0.245325,0.004365,0.29193675,0.00519435
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,1.4385,0.0569,spectinomycin,O8,0.245775,0.008535,0.29247225,0.01015665
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.4431,0.1326,spectinomycin,P8,0.246465,0.01989,0.29329335,0.0236691
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.4439,0.0168,spectinomycin,E14,0.246585,0.00252,0.29343615,0.0029988
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,1.4624,0.0134,spectinomycin,J10,0.24936,0.00201,0.2967384,0.0023919
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10,1.4728,0.0536,spectinomycin,E17,0.25092,0.00804,0.2985948,0.0095676
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.4795,0.0413,spectinomycin,M9,0.251925,0.006195,0.29979075,0.00737205
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,40,10,1.483,0.0413,spectinomycin,F7,0.25245,0.006195,0.3004155,0.00737205
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,1.4894,0.1008,spectinomycin,N8,0.25341,0.01512,0.3015579,0.0179928
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.4923,0.0045,spectinomycin,I16,0.253845,0.000675,0.30207555,0.00080325
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.5488,0.0093,spectinomycin,N6,0.26232,0.001395,0.3121608,0.00166005
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,4,10,0.1978,0.045,spectinomycin_PS,C2,0.05967,0.00675,0.0710073,0.0080325
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,12,10,0.1648,0.0581,spectinomycin_PS,C3,0.05472,0.008715,0.0651168,0.01037085
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,4,10,0.1419,0.0363,spectinomycin_PS,C4,0.051285,0.005445,0.06102915,0.00647955
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,12,10,0.0874,0.0367,spectinomycin_PS,C5,0.04311,0.005505,0.0513009,0.00655095
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0,0.014,spectinomycin_PS,C6,0.03,0.0021,0.0357,0.002499
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,40,10,0.0465,0.004,spectinomycin_PS,C7,0.036975,0.0006,0.04400025,0.000714
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.1715,0.0156,spectinomycin_PS,N2,0.055725,0.00234,0.06631275,0.0027846
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,0.1556,0.0113,spectinomycin_PS,N3,0.05334,0.001695,0.0634746,0.00201705
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.2228,0.0169,spectinomycin_PS,N4,0.06342,0.002535,0.0754698,0.00301665
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,0.197,0.0134,spectinomycin_PS,N5,0.05955,0.00201,0.0708645,0.0023919
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.213,0.0144,spectinomycin_PS,N6,0.06195,0.00216,0.0737205,0.0025704
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,0.213,0.0196,spectinomycin_PS,N7,0.06195,0.00294,0.0737205,0.0034986
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.2397,0.0308,spectinomycin_PS,N8,0.065955,0.00462,0.07848645,0.0054978
