Name,Mean
nad,[0.07946158]
folinic_acid,[0.08228938]
coa,[0.09227163]
nucleo_mix,[0.60488321]
spermidin,[0.35587828]
pga,[0.44254968]
aa,[0.38736416]
trna,[0.0670929]
mg_gluta,[0.55226844]
camp,[0.11397836]
K_gluta,[0.63999157]
