nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.2123,0.0112,AB,G21
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.4031,0.0542,AB,H2
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.5891,0.0496,AB,H3
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.5305,0.0057,AB,H4
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.4897,0.0556,AB,H11
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.3024,0.0265,AB,H14
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.2301,0.0093,AB,H17
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,0.7758,0.0954,AB,H20
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,0.8049,0.0352,AB,H21
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.0387,0.0219,AB,H22
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,0.9092,0.0749,AB,H23
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.2322,0.0045,AB,I10
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,0.7753,0.0454,AB,I13
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.9068,0.0741,AB,I16
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.6411,0.0537,AB,I19
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.5108,0.1286,AB,I20
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,0.8257,0.0886,AB,J3
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.1296,0.0886,AB,J6
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.2654,0.0281,AB,J9
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,1.9211,0.1375,AB,J10
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.2179,0.0036,AB,J11
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,1.0223,0.0284,AB,J18
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.9352,0.1622,AB,J21
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.2872,0.0265,AB,K2
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,1.6284,0.0918,AB,K3
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.6598,0.0245,AB,K8
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.5638,0.0446,AB,K11
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.1604,0.0346,AB,K14
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,2.0889,0.0726,AB,K17
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.8789,0.0774,AB,K20
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.5786,0.0909,AB,K23
