nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_std
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.6945,0.133,AB,E9,1.22004,0.09576
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.2138,0.0856,AB,E14,0.873936,0.061632
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10,1.1557,0.0695,AB,E17,0.832104,0.05004
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,40,10,1.2447,0.0667,AB,E18,0.896184,0.048024
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.0989,0.0968,AB,E19,0.791208,0.069696
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.0159,0.034,AB,F4,0.731448,0.02448
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,40,10,1.2463,0.0939,AB,F7,0.897336,0.067608
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,1.0799,0.0157,AB,F10,0.777528,0.011304
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,20,10,1.5748,0.1197,AB,F11,1.133856,0.086184
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.234,0.0153,AB,F16,0.16848,0.011016
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,1.0571,0.0164,AB,F19,0.761112,0.011808
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,0.3408,0.0572,AB,F22,0.245376,0.041184
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,0.5917,0.026,AB,G3,0.426024,0.01872
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,0.8327,0.0062,AB,G6,0.599544,0.004464
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,1.0786,0.0785,AB,G7,0.776592,0.05652
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,0.6676,0.0564,AB,G12,0.480672,0.040608
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,0.7257,0.0781,AB,G15,0.522504,0.056232
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,0.7683,0.0196,AB,G18,0.553176,0.014112
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.2123,0.0112,AB,G21,0.152856,0.008064
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.4031,0.0542,AB,H2,1.010232,0.039024
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.5891,0.0496,AB,H3,1.144152,0.035712
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.5305,0.0057,AB,H4,1.10196,0.004104
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.4897,0.0556,AB,H11,1.072584,0.040032
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.3024,0.0265,AB,H14,0.937728,0.01908
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.2301,0.0093,AB,H17,0.165672,0.006696
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,0.7758,0.0954,AB,H20,0.558576,0.068688
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,0.8049,0.0352,AB,H21,0.579528,0.025344
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.0387,0.0219,AB,H22,0.747864,0.015768
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,0.9092,0.0749,AB,H23,0.654624,0.053928
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,40,10,0.2322,0.0045,AB,I10,0.167184,0.00324
0.033,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.1,2,50,0.225,20,10,0.7753,0.0454,AB,I13,0.558216,0.032688
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.9068,0.0741,AB,I16,1.372896,0.053352
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.6411,0.0537,AB,I19,1.181592,0.038664
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.5108,0.1286,AB,I20,1.087776,0.092592
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,0.8257,0.0886,AB,J3,0.594504,0.063792
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.1296,0.0886,AB,J6,0.813312,0.063792
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,40,10,0.2654,0.0281,AB,J9,0.191088,0.020232
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,1.9211,0.1375,AB,J10,1.383192,0.099
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.2179,0.0036,AB,J11,0.156888,0.002592
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.06,0.4,50,0.075,20,10,1.0223,0.0284,AB,J18,0.736056,0.020448
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,4,10,0.9352,0.1622,AB,J21,0.673344,0.116784
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,40,10,0.2872,0.0265,AB,K2,0.206784,0.01908
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,1.6284,0.0918,AB,K3,1.172448,0.066096
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.6598,0.0245,AB,K8,0.475056,0.01764
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.5638,0.0446,AB,K11,1.125936,0.032112
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.1604,0.0346,AB,K14,0.835488,0.024912
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,2.0889,0.0726,AB,K17,1.504008,0.052272
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.8789,0.0774,AB,K20,1.352808,0.055728
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.5786,0.0909,AB,K23,1.136592,0.065448
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.7488,0.2096,AB,L2,1.259136,0.150912
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,1.6893,0.1216,AB,L3,1.216296,0.087552
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,2.0949,0.1605,AB,L10,1.508328,0.11556
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,2.1821,0.1526,AB,L11,1.571112,0.109872
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,1.9628,0.2127,AB,L12,1.413216,0.153144
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,1.8405,0.1514,AB,L19,1.32516,0.109008
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,2.0144,0.0606,AB,L20,1.450368,0.043632
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,2.3755,0.0527,AB,M3,1.71036,0.037944
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,40,10,2.4224,0.0839,AB,M4,1.744128,0.060408
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.5071,0.0429,AB,M9,1.805112,0.030888
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.4887,0.0186,AB,M10,1.791864,0.013392
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,2.1981,0.0487,AB,M15,1.582632,0.035064
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,2.0988,0.056,AB,M18,1.511136,0.04032
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.6645,0.0932,AB,M21,1.91844,0.067104
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.9341,0.1117,AB,N2,1.392552,0.080424
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,2.5219,0.0544,AB,N5,1.815768,0.039168
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.3872,0.0464,AB,N6,1.718784,0.033408
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,2.4912,0.0324,AB,N7,1.793664,0.023328
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,2.339,0.0714,AB,N8,1.68408,0.051408
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,2.5543,0.2144,AB,N9,1.839096,0.154368
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,2.5006,0.0272,AB,N20,1.800432,0.019584
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.5993,0.0254,AB,N21,1.871496,0.018288
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,2.4791,0.0123,AB,O4,1.784952,0.008856
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,2.1186,0.0738,AB,O7,1.525392,0.053136
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,2.5608,0.0445,AB,O8,1.843776,0.03204
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,2.4818,0.117,AB,O13,1.786896,0.08424
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,40,10,0.1614,0.0073,AB,O16,0.116208,0.005256
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,40,10,0.0417,0.0041,AB,O19,0.030024,0.002952
0.165,0.034,50,0.026,10,2,0.75,0.5,15,0.45,0.02,2,50,0.225,20,10,0.4501,0.0311,AB,P2,0.324072,0.022392
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.75,0.02,1.2,50,0.375,20,10,1,0.2508,AB,P3,0.72,0.180576
0.165,0.0204,50,0.078,10,2,0.75,0.5,9,0.15,0.02,0.4,50,0.375,20,10,0.4342,0.0449,AB,P4,0.312624,0.032328
0.033,0.0068,50,0.026,10,2,0.75,0.3,15,0.75,0.02,2,50,0.375,12,10,0.6884,0.0192,AB,P5,0.495648,0.013824
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.6263,0.0275,AB,P6,1.890936,0.0198
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,2.6108,0.0203,AB,P7,1.879776,0.014616
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,2.4732,0.0186,AB,P8,1.780704,0.013392
