nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,yield_to_PS,std_to_PS,yield_to_ORI,std_to_ORI
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,1.3501,0.0429,rifaxamin,C4,0.114507,0.003003,0.13626333,0.00357357
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,1.3601,0.01,rifaxamin,B8,0.115207,0.0007,0.13709633,0.000833
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,1.3666,0.0506,rifaxamin,H20,0.115662,0.003542,0.13763778,0.00421498
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,1.3782,0.0609,rifaxamin,B17,0.116474,0.004263,0.13860406,0.00507297
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.3809,0.0428,rifaxamin,D10,0.116663,0.002996,0.13882897,0.00356524
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,1.4023,0.0314,rifaxamin,F22,0.118161,0.002198,0.14061159,0.00261562
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,1.4147,0.0535,rifaxamin,H21,0.119029,0.003745,0.14164451,0.00445655
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.4383,0.0929,rifaxamin,C22,0.120681,0.006503,0.14361039,0.00773857
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,1.4963,0.0238,rifaxamin,H23,0.124741,0.001666,0.14844179,0.00198254
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.5058,0.0229,rifaxamin,H14,0.125406,0.001603,0.14923314,0.00190757
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.5097,0.0408,rifaxamin,D9,0.125679,0.002856,0.14955801,0.00339864
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,1.5152,0.1503,rifaxamin,B11,0.126064,0.010521,0.15001616,0.01251999
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,1.5573,0.0297,rifaxamin,G6,0.129011,0.002079,0.15352309,0.00247401
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.5749,0.0198,rifaxamin,C16,0.130243,0.001386,0.15498917,0.00164934
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,1.5922,0.0644,rifaxamin,G18,0.131454,0.004508,0.15643026,0.00536452
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.6075,0.0441,rifaxamin,G3,0.132525,0.003087,0.15770475,0.00367353
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.6118,0.0147,rifaxamin,E14,0.132826,0.001029,0.15806294,0.00122451
