# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.017969;0.000314;0.003515;3.375000;1.000000;16200.000000;0.337500;0.004000;64.000000;0.253125;512000.000000;1.067400;0.036700;1.195689;0.293423
0.035937;0.000094;0.003515;3.375000;0.200000;16200.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;2.088000;0.054500;1.290899;0.352049
0.017969;0.000157;0.010546;1.687500;0.200000;16200.000000;0.337500;0.004000;32.000000;0.084375;256000.000000;0.824800;0.022400;0.990540;0.250816
0.003594;0.000157;0.010546;3.375000;0.200000;16200.000000;1.012500;0.000800;64.000000;0.253125;512000.000000;1.829700;0.050500;1.172608;0.234161
0.017969;0.000094;0.010546;3.375000;0.200000;16200.000000;0.337500;0.000800;64.000000;0.084375;512000.000000;1.656000;0.035600;1.179676;0.272370
0.017969;0.000157;0.010546;1.687500;0.600000;27000.000000;0.337500;0.000800;32.000000;0.084375;256000.000000;0.754300;0.013800;1.010256;0.218706
0.010781;0.000157;0.010546;1.687500;0.600000;27000.000000;0.337500;0.002400;32.000000;0.253125;256000.000000;0.741900;0.026800;0.991843;0.203802
0.003594;0.000314;0.017576;3.375000;0.200000;16200.000000;3.375000;0.002400;64.000000;0.084375;512000.000000;2.052300;0.054900;1.370299;0.347644
