# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.010781;0.000314;0.005273;1.687500;0.600000;27000.000000;1.012500;0.000800;32.000000;0.084375;256000.000000;1.088800;0.046800;1.038112;0.288343
0.017969;0.000063;0.008788;1.687500;0.200000;16200.000000;1.012500;0.000800;32.000000;0.084375;256000.000000;1.018800;0.054900;1.011213;0.210287
0.003594;0.000314;0.001758;1.687500;1.000000;16200.000000;1.012500;0.000800;19.200000;0.084375;256000.000000;1.132800;0.058600;0.992357;0.312281
0.035937;0.000189;0.001758;3.375000;0.200000;16200.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;2.121500;0.213300;1.605299;0.491615
0.003594;0.000063;0.017576;3.375000;0.200000;16200.000000;0.337500;0.000800;64.000000;0.084375;512000.000000;1.369100;0.037300;1.190439;0.376234
0.035937;0.000063;0.005273;3.375000;0.200000;16200.000000;1.687500;0.004000;64.000000;0.084375;512000.000000;2.551900;0.049700;1.381321;0.348358
0.035937;0.000063;0.001758;3.375000;0.200000;16200.000000;1.012500;0.004000;64.000000;0.084375;512000.000000;1.945800;0.038000;1.352977;0.321992
0.003594;0.000189;0.001758;1.687500;1.000000;16200.000000;1.687500;0.000800;32.000000;0.084375;256000.000000;0.933100;0.031400;1.014194;0.305303
