# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.017969;0.000314;0.003515;3.375000;1.000000;16200.000000;0.337500;0.004000;64.000000;0.253125;512000.000000;1.453000;0.005500;1.493017;0.448820
0.035937;0.000094;0.003515;3.375000;0.200000;16200.000000;3.375000;0.008000;64.000000;0.421875;512000.000000;2.121500;0.213300;1.442998;0.492325
0.017969;0.000157;0.010546;1.687500;0.200000;16200.000000;0.337500;0.004000;32.000000;0.084375;256000.000000;0.982400;0.017300;1.076185;0.341749
0.003594;0.000157;0.010546;3.375000;0.200000;16200.000000;1.012500;0.000800;64.000000;0.253125;512000.000000;1.814200;0.094100;1.395443;0.375629
0.017969;0.000094;0.010546;3.375000;0.200000;16200.000000;0.337500;0.000800;64.000000;0.084375;512000.000000;2.107100;0.542700;1.334614;0.436805
0.017969;0.000157;0.010546;1.687500;0.600000;27000.000000;0.337500;0.000800;32.000000;0.084375;256000.000000;1.116800;0.041000;1.153980;0.378294
0.010781;0.000157;0.010546;1.687500;0.600000;27000.000000;0.337500;0.002400;32.000000;0.253125;256000.000000;0.931900;0.173300;1.201415;0.371223
0.003594;0.000314;0.017576;3.375000;0.200000;16200.000000;3.375000;0.002400;64.000000;0.084375;512000.000000;2.738800;0.126300;1.479527;0.445744
