row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,9276.3,5602.3,5819.0,3435.0,2278.0,3354.0,9276.3,5602.3,5819.0,3435.0,2278.0,3354.0,9276.3,5602.3,5819.0,3435.0,2278.0,3354.0,0,0,0,0
B,13885.7,13885.7,13885.7,11247.7,11247.7,11247.7,14280.7,14280.7,14280.7,7624.7,7624.7,7624.7,16824.0,16824.0,16824.0,15120.3,15120.3,15120.3,17894.0,17894.0,17894.0,14674.0
C,14674.0,14674.0,17494.0,18525.3,18525.3,17494.0,18525.3,17957.7,17494.0,17957.7,17957.7,8458.0,8458.0,8458.0,16396.3,15230.3,16396.3,15230.3,16396.3,15230.3,17741.3,17741.3
D,17741.3,17624.3,17624.3,17624.3,14560.3,14560.3,14560.3,18235.3,17477.7,17348.0,18235.3,17477.7,17348.0,18235.3,17477.7,17348.0,14973.7,16059.7,14973.7,16059.7,14973.7,16059.7
E,15832.7,15832.7,15832.7,29077.3,29077.3,29077.3,32535.0,32462.3,32535.0,32462.3,32535.0,32462.3,30347.3,30347.3,30347.3,28766.0,28817.0,29779.7,28766.0,28817.0,29779.7,28766.0
F,28817.0,29779.7,32754.3,32754.3,32754.3,28748.7,28748.7,28748.7,12190.0,21292.0,12190.0,21292.0,12190.0,21292.0,4591.0,4591.0,4591.0,12801.3,12801.3,12801.3,17359.7,17359.7
G,17359.7,19654.0,19654.0,19654.0,23354.3,14637.7,23354.3,14637.7,23354.3,14637.7,18139.3,18139.3,18139.3,20970.3,20970.3,20970.3,21779.7,21779.7,21779.7,3852.0,3852.0,3852.0
H,22964.7,23728.7,23750.0,22964.7,23728.7,23750.0,22964.7,23728.7,23750.0,22797.0,22797.0,22797.0,23338.7,23338.7,23338.7,5138.7,5138.7,5138.7,20951.3,20831.0,22793.7,21835.3
I,20951.3,20831.0,22793.7,21835.3,20951.3,20831.0,22793.7,21835.3,4789.0,4789.0,4789.0,19554.7,19554.7,19554.7,37471.7,37471.7,37471.7,33090.0,35707.3,33090.0,35707.3,33090.0
J,35707.3,9983.3,9983.3,9983.3,26448.3,26448.3,26448.3,4394.0,38913.0,3992.0,4394.0,38913.0,3992.0,4394.0,38913.0,3992.0,12387.7,12387.7,12387.7,12481.7,12481.7,12481.7
K,5178.7,39168.7,5178.7,39168.7,5178.7,39168.7,17134.3,17134.3,17134.3,36818.0,36818.0,36818.0,30800.3,30800.3,30800.3,43230.0,43230.0,43230.0,38852.0,38852.0,38852.0,38612.0
L,39982.0,39072.3,38612.0,39982.0,39072.3,38612.0,39982.0,39072.3,38547.0,39083.0,39030.0,38547.0,39083.0,39030.0,38547.0,39083.0,39030.0,32701.7,34203.3,32701.7,34203.3,32701.7
M,34203.3,40712.3,40210.7,40712.3,40210.7,40712.3,40210.7,41633.0,40775.3,41633.0,40775.3,41633.0,40775.3,37271.7,37271.7,37271.7,34203.7,34203.7,34203.7,40233.3,40233.3,40233.3
N,32873.0,32873.0,32873.0,41906.0,39775.3,41406.3,39174.3,38357.3,41906.0,39775.3,41406.3,39174.3,38357.3,41906.0,39775.3,41406.3,39174.3,38357.3,39733.3,39106.0,39733.3,39106.0
O,39733.3,39106.0,38777.0,38777.0,38777.0,33933.3,39144.0,33933.3,39144.0,33933.3,39144.0,40427.3,40427.3,40427.3,5271.7,5271.7,5271.7,1918.3,1918.3,1918.3,0,0
P,15995.0,20548.7,11523.0,18435.3,43176.3,39664.0,38162.7,15995.0,20548.7,11523.0,18435.3,43176.3,39664.0,38162.7,15995.0,20548.7,11523.0,18435.3,43176.3,39664.0,38162.7,0
