nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,plaque_name
0.165,0.0204,50.0,0.078,10.0,2.0,0.75,0.5,9.0,0.15,0.02,0.4,50.0,0.375,20.0,10.0,19438.0,10053.0,8696.0,AB
0.033,0.0068,50.0,0.026,10.0,2.0,0.75,0.3,15.0,0.75,0.02,2.0,50.0,0.375,12.0,10.0,25715.0,13504.0,12923.0,AB
