nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.165,0.034,50.0,0.078,10.0,2.0,0.75,0.3,15.0,0.15,0.02,2.0,50.0,0.075,20.0,10.0,11622.0,12362.0,11335.0,D19,D21,D23,11773.0,432.7,0.593,0.0286,AB
0.099,0.034,50.0,0.078,10.0,2.0,0.75,0.3,15.0,0.15,0.06,2.0,50.0,0.225,20.0,10.0,9402.0,9866.0,10655.0,E2,E3,E4,9974.3,517.2,0.4739,0.0342,AB
0.033,0.0068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,22622.0,24236.0,27412.0,E5,E6,E7,24756.7,1989.9,1.4527,0.1318,AB
0.165,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,26756.0,24144.0,28379.0,E8,E10,E12,26426.3,1744.6,1.5632,0.1155,AB
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,25604.0,29417.0,30204.0,E9,E11,E13,28408.3,2008.8,1.6945,0.133,AB
0.033,0.0068,50.0,0.26,10.0,2.0,1.5,0.1,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,21562.0,22483.0,19400.0,E14,E15,E16,21148.3,1292.2,1.2138,0.0856,AB
0.033,0.034,50.0,0.13,10.0,2.0,1.5,0.3,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,21725.0,19808.0,19283.0,E17,E20,E23,20272.0,1049.5,1.1557,0.0695,AB
0.165,0.0204,50.0,0.026,10.0,2.0,1.5,0.3,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,22931.0,20483.0,21434.0,E18,E21,F2,21616.0,1007.6,1.2447,0.0667,AB
0.165,0.0068,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,19915.0,17425.0,20901.0,E19,E22,F3,19413.7,1462.7,1.0989,0.0968,AB
0.165,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,18806.0,17549.0,18124.0,F4,F5,F6,18159.7,513.8,1.0159,0.034,AB
0.099,0.0068,50.0,0.026,10.0,2.0,1.5,0.3,9.0,0.15,0.2,4.0,50.0,0.075,40.0,10.0,23142.0,22040.0,19738.0,F7,F8,F9,21640.0,1418.2,1.2463,0.0939,AB
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.5,3.0,0.45,0.02,2.0,50.0,0.075,4.0,10.0,19385.0,18811.0,19184.0,F10,F12,F14,19126.7,237.8,1.0799,0.0157,AB
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.3,3.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,24118.0,27313.0,28371.0,F11,F13,F15,26600.7,1807.9,1.5748,0.1197,AB
0.033,0.0204,50.0,0.026,10.0,2.0,1.5,1.0,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,6544.0,6484.0,6025.0,F16,F17,F18,6351.0,231.8,0.234,0.0153,AB
0.033,0.034,50.0,0.078,10.0,2.0,0.75,0.5,3.0,0.45,0.1,0.4,50.0,0.075,12.0,10.0,19118.0,18702.0,18528.0,F19,F20,F21,18782.7,247.5,1.0571,0.0164,AB
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,0.4,50.0,0.075,20.0,10.0,8863.0,8230.0,6798.0,F22,F23,G2,7963.7,863.8,0.3408,0.0572,AB
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,11353.0,12287.0,11617.0,G3,G4,G5,11752.3,393.1,0.5917,0.026,AB
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.5,9.0,0.15,0.02,4.0,50.0,0.225,40.0,10.0,15343.0,15523.0,15311.0,G6,G8,G10,15392.3,93.3,0.8327,0.0062,AB
0.165,0.0204,50.0,0.078,10.0,2.0,0.45,0.3,9.0,0.45,0.1,0.4,50.0,0.225,12.0,10.0,19707.0,20161.0,17451.0,G7,G9,G11,19106.3,1185.1,1.0786,0.0785,AB
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.5,9.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,12120.0,12494.0,14084.0,G12,G13,G14,12899.3,851.5,0.6676,0.0564,AB
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,12626.0,15399.0,13305.0,G15,G16,G17,13776.7,1180.2,0.7257,0.0781,AB
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.5,9.0,0.15,0.1,4.0,50.0,0.225,40.0,10.0,14002.0,14627.0,14631.0,G18,G19,G20,14420.0,295.6,0.7683,0.0196,AB
