row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,9069.7,9594.7,7881.0,6701.0,1938.3,4287.0,9069.7,9594.7,7881.0,6701.0,1938.3,4287.0,9069.7,9594.7,7881.0,6701.0,1938.3,4287.0,0,0,0,0
B,21057.3,21057.3,21057.3,23627.7,23627.7,23627.7,26390.0,26390.0,26390.0,10902.3,10902.3,10902.3,22817.0,22817.0,22817.0,29799.3,29799.3,29799.3,30627.0,30627.0,30627.0,31307.7
C,31307.7,31307.7,32098.7,29507.0,29507.0,32098.7,29507.0,30239.7,32098.7,30239.7,30239.7,16212.3,16212.3,16212.3,30177.0,30385.0,30177.0,30385.0,30177.0,30385.0,27371.0,27371.0
D,27371.0,30680.0,30680.0,30680.0,28814.0,28814.0,28814.0,29657.3,32431.3,30396.3,29657.3,32431.3,30396.3,29657.3,32431.3,30396.3,32634.7,26825.0,32634.7,26825.0,32634.7,26825.0
E,31584.3,31584.3,31584.3,33513.0,33513.0,33513.0,32574.7,32592.7,32574.7,32592.7,32574.7,32592.7,33600.7,33600.7,33600.7,31250.3,28225.3,33203.0,31250.3,28225.3,33203.0,31250.3
F,28225.3,33203.0,32233.7,32233.7,32233.7,27418.7,27418.7,27418.7,15634.0,30880.7,15634.0,30880.7,15634.0,30880.7,11330.0,11330.0,11330.0,22714.3,22714.3,22714.3,28865.7,28865.7
G,28865.7,31097.0,31097.0,31097.0,22350.0,19856.0,22350.0,19856.0,22350.0,19856.0,21269.7,21269.7,21269.7,27185.0,27185.0,27185.0,22639.0,22639.0,22639.0,10794.3,10794.3,10794.3
H,30644.7,25556.3,25737.7,30644.7,25556.3,25737.7,30644.7,25556.3,25737.7,30406.7,30406.7,30406.7,25427.0,25427.0,25427.0,12499.7,12499.7,12499.7,25031.7,26856.3,24950.0,20823.3
I,25031.7,26856.3,24950.0,20823.3,25031.7,26856.3,24950.0,20823.3,11237.7,11237.7,11237.7,29015.0,29015.0,29015.0,25850.3,25850.3,25850.3,25662.0,30283.3,25662.0,30283.3,25662.0
J,30283.3,12631.0,12631.0,12631.0,21746.3,21746.3,21746.3,9643.0,32390.0,9178.7,9643.0,32390.0,9178.7,9643.0,32390.0,9178.7,16754.0,16754.0,16754.0,19490.3,19490.3,19490.3
K,9722.3,27284.7,9722.3,27284.7,9722.3,27284.7,24594.0,24594.0,24594.0,21127.0,21127.0,21127.0,26564.0,26564.0,26564.0,22506.0,22506.0,22506.0,25063.3,25063.3,25063.3,23606.3
L,23187.7,24525.3,23606.3,23187.7,24525.3,23606.3,23187.7,24525.3,24401.3,22785.3,21464.3,24401.3,22785.3,21464.3,24401.3,22785.3,21464.3,26355.3,26313.3,26355.3,26313.3,26355.3
M,26313.3,27268.7,27816.3,27268.7,27816.3,27268.7,27816.3,26170.0,26589.0,26170.0,26589.0,26170.0,26589.0,22381.3,22381.3,22381.3,23692.3,23692.3,23692.3,24930.7,24930.7,24930.7
N,24008.0,24008.0,24008.0,25453.7,27937.0,26039.0,28245.3,25625.7,25453.7,27937.0,26039.0,28245.3,25625.7,25453.7,27937.0,26039.0,28245.3,25625.7,24701.3,24270.7,24701.3,24270.7
O,24701.3,24270.7,25712.7,25712.7,25712.7,22731.3,26407.3,22731.3,26407.3,22731.3,26407.3,25864.7,25864.7,25864.7,10660.0,10660.0,10660.0,5211.0,5211.0,5211.0,0,0
P,18663.0,27011.7,19562.7,29377.7,25107.0,25942.3,27430.7,18663.0,27011.7,19562.7,29377.7,25107.0,25942.3,27430.7,18663.0,27011.7,19562.7,29377.7,25107.0,25942.3,27430.7,0
