nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_std
0.033,0.0204,50,0.026,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.1266,0.0019,PS_full,F16,0.243314,0.002451
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,0.576,0.0176,PS_full,F19,0.82304,0.022704
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,0.8255,0.0439,PS_full,F22,1.144895,0.056631
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,0.951,0.0195,PS_full,G3,1.30679,0.025155
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,1.1536,0.0331,PS_full,G6,1.568144,0.042699
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,12,10,0.6765,0.006,PS_full,G7,0.952685,0.00774
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.45,0.02,1.2,50,0.075,20,10,0.8681,0.026,PS_full,G12,1.199849,0.03354
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.0231,0.0446,PS_full,G15,1.399799,0.057534
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,1.0674,0.0367,PS_full,G18,1.456946,0.047343
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,40,10,0.0861,0.012,PS_full,G21,0.191069,0.01548
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1322,0.0208,PS_full,H2,1.540538,0.026832
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.174,0.0308,PS_full,H3,1.59446,0.039732
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.1752,0.0085,PS_full,H4,1.596008,0.010965
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.1231,0.0118,PS_full,H11,1.528799,0.015222
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,1.1527,0.0143,PS_full,H14,1.566983,0.018447
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,40,10,0.1566,0.0067,PS_full,H17,0.282014,0.008643
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,1.022,0.0248,PS_full,H20,1.39838,0.031992
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,1.0155,0.0302,PS_full,H21,1.389995,0.038958
