Name,Mean
nad,[0.00458775]
folinic_acid,[0.05881593]
coa,[0]
nucleo_mix,[0.22633132]
spermidin,[0.32512308]
pga,[0.21278259]
aa,[0.00214301]
trna,[0.08547817]
mg_gluta,[0.23737225]
camp,[0.03316965]
K_gluta,[0.31708127]
