nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.165,0.0204,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,40,10,20047,21033,-1,E13,E16,E19,20540,493,1.3045,0.0397,plate_AL_4
0.165,0.0068,50,0.13,10,2,0.75,0.5,15,0.15,0.02,1.2,50,0.075,40,10,14964,14238,17828,E20,F6,F14,15676.7,1549.8,0.9126,0.1249,plate_AL_4
0.033,0.0068,50,0.026,10,2,0.75,0.5,15,0.15,0.1,2,50,0.075,40,10,17233,16523,19873,E21,F7,F15,17876.3,1441.3,1.0899,0.1161,plate_AL_4
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,15736,16062,18708,E22,F8,F16,16835.3,1330.8,1.006,0.1072,plate_AL_4
0.165,0.0068,50,0.13,10,2,0.45,0.3,15,0.15,0.02,2,50,0.075,40,10,15392,16470,17970,E23,F9,F17,16610.7,1057.2,0.9879,0.0852,plate_AL_4
0.165,0.0068,50,0.13,10,2,0.45,0.3,15,0.15,0.1,1.2,50,0.075,40,10,13519,17188,11918,F2,F10,F18,14208.3,2206,0.7943,0.1777,plate_AL_4
0.033,0.034,50,0.026,10,2,0.45,0.5,15,0.15,0.06,2,50,0.075,40,10,15976,11202,11909,F3,F11,F19,13029,2103.7,0.6993,0.1695,plate_AL_4
0.099,0.0068,50,0.026,10,2,0.45,0.5,15,0.15,0.1,2,50,0.075,40,10,15738,21316,13672,F4,F12,F20,16908.7,3228.6,1.0119,0.2601,plate_AL_4
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.15,0.1,1.2,50,0.075,40,10,16043,20477,13429,F5,F13,F21,16649.7,2909.1,0.991,0.2344,plate_AL_4
0.033,0.0204,50,0.078,10,2,0.75,0.3,9,0.15,0.1,2,50,0.225,40,10,8272,13638,17522,F22,F23,G2,13144,3792.4,0.7086,0.3056,plate_AL_4
0.033,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.1,1.2,50,0.075,40,10,10557,16283,17326,G3,G11,G19,14722,2975.7,0.8357,0.2398,plate_AL_4
0.033,0.0204,50,0.13,10,2,0.75,0.5,15,0.15,0.1,1.2,50,0.075,40,10,14405,15436,10784,G4,G12,G20,13541.7,1994.9,0.7406,0.1607,plate_AL_4
0.099,0.0204,50,0.13,10,2,0.75,0.5,15,0.15,0.02,1.2,50,0.225,40,10,9242,16968,17423,G5,G13,G21,14544.3,3753.9,0.8214,0.3025,plate_AL_4
0.099,0.034,50,0.13,10,2,0.75,0.3,15,0.15,0.06,1.2,50,0.075,40,10,15605,12206,16319,G6,G14,G22,14710,1794.4,0.8347,0.1446,plate_AL_4
0.033,0.0204,50,0.026,10,2,0.75,0.3,15,0.15,0.1,2,50,0.225,40,10,19072,20641,18650,G7,G15,G23,19454.3,856.6,1.217,0.069,plate_AL_4
0.165,0.0204,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,17893,20720,11532,G8,G16,H2,16715,3842.4,0.9963,0.3096,plate_AL_4
0.033,0.034,50,0.026,10,2,0.75,0.5,15,0.15,0.1,1.2,50,0.225,40,10,17212,18575,16197,G9,G17,H3,17328,974.3,1.0457,0.0785,plate_AL_4
0.165,0.0068,50,0.026,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,40,10,14231,18871,12720,G10,G18,H4,15274,2617.2,0.8802,0.2109,plate_AL_4
0.033,0.0204,50,0.13,10,2,0.75,0.3,15,0.15,0.1,2,50,0.075,40,10,17026,15419,17953,H5,H10,H15,16799.3,1046.8,1.0031,0.0844,plate_AL_4
0.165,0.0068,50,0.13,10,2,0.75,0.3,15,0.15,0.06,2,50,0.075,40,10,16085,16943,16247,H6,H11,H16,16425,372.2,0.9729,0.03,plate_AL_4
0.165,0.034,50,0.078,10,2,0.75,0.5,15,0.15,0.02,1.2,50,0.225,40,10,14839,15014,17270,H7,H12,H17,15707.7,1107,0.9151,0.0892,plate_AL_4
0.165,0.0204,50,0.078,10,2,0.75,0.5,15,0.15,0.06,1.2,50,0.225,40,10,14808,16064,15834,H8,H13,H18,15568.7,546,0.9039,0.044,plate_AL_4
0.165,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.02,2,50,0.075,40,10,17546,18305,18782,H9,H14,H19,18211,509,1.1168,0.041,plate_AL_4
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,40,10,17720,12893,17135,H20,H21,H22,15916,2150.9,0.9319,0.1733,plate_AL_4
0.165,0.034,50,0.13,10,2,0.75,0.5,15,0.15,0.06,1.2,50,0.225,40,10,15587,13945,14601,H23,I3,I5,14711,674.8,0.8348,0.0544,plate_AL_4
0.165,0.0204,50,0.078,10,2,0.75,0.5,15,0.15,0.1,2,50,0.075,40,10,15470,15931,15753,I2,I4,I6,15718,189.8,0.916,0.0153,plate_AL_4
0.099,0.034,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,40,10,14724,14092,15097,I7,I8,I9,14637.7,414.8,0.8289,0.0334,plate_AL_4
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,40,10,16116,16313,-1,I10,I11,I12,16214.5,98.5,0.956,0.0079,plate_AL_4
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,2,50,0.075,40,10,6897,7936,-1,I13,I15,I17,7416.5,519.5,0.2471,0.0419,plate_AL_4
0.099,0.0068,50,0.078,10,2,0.75,0.3,15,0.45,0.02,1.2,50,0.075,40,10,18935,18586,17695,I14,I16,I18,18405.3,522.1,1.1325,0.0421,plate_AL_4
0.099,0.0204,50,0.026,10,2,0.75,0.1,9,0.45,0.06,2,50,0.075,40,10,18993,18399,19403,I19,I22,J3,18931.7,412.2,1.1749,0.0332,plate_AL_4
0.033,0.0204,50,0.078,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,6553,6794,-1,I20,I23,J4,6673.5,120.5,0.1872,0.0097,plate_AL_4
0.033,0.0068,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,40,10,17741,19152,17918,I21,J2,J5,18270.3,627.6,1.1216,0.0506,plate_AL_4
0.099,0.0068,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,40,10,16493,16799,17235,J6,J8,J10,16842.3,304.5,1.0066,0.0245,plate_AL_4
0.165,0.0068,50,0.026,10,2,0.75,0.5,15,0.45,0.02,1.2,50,0.075,40,10,17983,18550,19727,J7,J9,J11,18753.3,726.4,1.1605,0.0585,plate_AL_4
