row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,250.2,16.6,35.6,35.6,11.1,37.9,250.2,16.6,35.6,35.6,11.1,37.9,250.2,16.6,35.6,35.6,11.1,37.9,0,0,0,0
M,71.2,63.1,55.4,119.3,229.9,187.8,79.3,71.2,63.1,55.4,119.3,229.9,187.8,79.3,71.2,63.1,55.4,119.3,229.9,187.8,79.3,0
