nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,0.107,0.0188,plate_AL_8,G5
0.33,0.068,50,0.078,10,2,1.5,0.5,9,0.15,0.06,4,50,0.075,80,10,1.5416,0.0689,plate_AL_8,G12
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.15,0.2,4,50,0.075,80,10,1.4936,0.0416,plate_AL_8,G13
0.033,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,0.3051,0.067,plate_AL_8,G14
0.165,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.242,0.0619,plate_AL_8,G15
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,0.2494,0.074,plate_AL_8,H2
0.33,0.034,50,0.026,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.1997,0.0495,plate_AL_8,H5
0.33,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.2546,0.0374,plate_AL_8,H6
0.165,0.068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,0.2989,0.0178,plate_AL_8,H11
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,1.784,0.0049,plate_AL_8,H14
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,0.45,0.02,4,50,0.225,80,10,1.9535,0.0245,plate_AL_8,H15
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,1.8142,0.0941,plate_AL_8,H20
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.45,0.06,4,50,0.225,80,10,2.0439,0.0611,plate_AL_8,H21
0.033,0.034,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,1.782,0.0448,plate_AL_8,I4
0.099,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,80,10,1.8728,0.0447,plate_AL_8,I5
0.165,0.0068,50,0.13,10,2,1.5,0.3,9,0.45,0.02,4,50,0.075,80,10,1.9177,0.0666,plate_AL_8,I6
0.033,0.034,50,0.026,10,2,1.5,0.3,9,0.45,0.06,4,50,0.225,80,10,1.9658,0.0304,plate_AL_8,I7
0.165,0.0204,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,2.0227,0.1045,plate_AL_8,I16
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,1.7019,0.0357,plate_AL_8,I17
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,0.1707,0.0291,plate_AL_8,I22
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,0.2547,0.046,plate_AL_8,I23
0.033,0.034,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,80,10,1.741,0.019,plate_AL_8,J6
0.033,0.034,50,0.13,10,2,1.5,0.5,9,0.45,0.06,4,50,0.075,80,10,1.7868,0.0654,plate_AL_8,J7
0.165,0.0204,50,0.13,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,2.1257,0.112,plate_AL_8,J8
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,2.1255,0.1903,plate_AL_8,J15
0.033,0.0204,50,0.078,10,2,1.5,0.3,9,0.45,0.2,4,50,0.075,80,10,2.1818,0.1187,plate_AL_8,J16
0.33,0.0068,50,0.026,10,2,1.5,0.5,9,0.45,0.06,4,50,0.075,80,10,1.7376,0.0827,plate_AL_8,J17
0.165,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,0.1723,0.0358,plate_AL_8,J18
0.165,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,80,10,2.1308,0.2101,plate_AL_8,J19
0.099,0.0204,50,0.078,10,2,1.5,1,9,0.45,0.02,4,50,0.075,80,10,0.2877,0.0267,plate_AL_8,J20
0.33,0.0068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,80,10,2.1271,0.1347,plate_AL_8,J21
0.033,0.068,50,0.13,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,2.0471,0.0459,plate_AL_8,K14
0.099,0.068,50,0.13,10,2,1.5,0.3,9,0.45,0.02,4,50,0.075,80,10,2.1244,0.0234,plate_AL_8,K15
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.06,4,50,0.075,80,10,0.2933,0.0642,plate_AL_8,K16
0.033,0.0204,50,0.13,10,2,1.5,0.3,9,0.45,0.2,4,50,0.075,80,10,2.0054,0.0225,plate_AL_8,K17
0.033,0.0068,50,0.026,10,2,1.5,1,9,0.45,0.2,4,50,0.075,80,10,0.1471,0.0018,plate_AL_8,L4
0.099,0.034,50,0.026,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,1.7774,0.074,plate_AL_8,L7
0.33,0.034,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,2.1546,0.166,plate_AL_8,L8
0.099,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,1.8186,0.0868,plate_AL_8,L9
0.033,0.034,50,0.078,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,0.333,0.0469,plate_AL_8,L10
0.165,0.034,50,0.026,10,2,1.5,1,9,0.45,0.1,4,50,0.075,80,10,0.1928,0.0197,plate_AL_8,L19
0.099,0.068,50,0.026,10,2,1.5,0.5,9,0.45,0.2,4,50,0.075,80,10,1.6669,0.0481,plate_AL_8,L22
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,80,10,2.104,0.0971,plate_AL_8,L23
0.33,0.068,50,0.026,10,2,1.5,0.1,9,0.45,0.2,4,50,0.075,80,10,2.0175,0.0491,plate_AL_8,M6
0.033,0.068,50,0.026,10,2,1.5,1,9,0.45,0.2,4,50,0.075,80,10,0.2745,0.0128,plate_AL_8,M7
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.02,4,50,0.075,80,10,1.459,0.0455,plate_AL_8,M12
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,0.75,0.02,4,50,0.075,80,10,2.2497,0.0517,plate_AL_8,M15
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,2.3741,0.0307,plate_AL_8,M16
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,80,10,1.6824,0.0326,plate_AL_8,M17
0.165,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,80,10,2.3389,0.0504,plate_AL_8,N2
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,80,10,2.313,0.0542,plate_AL_8,N3
