nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.4382,0.0112,plate_AL_2,A2
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,0.3245,0.0195,plate_AL_2,A3
0.099,0.0204,50,0.078,10,2,0.15,0.5,3,0.45,0.1,1.2,50,0.225,8,10,0.3244,0.0091,plate_AL_2,A4
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,0.2532,0.019,plate_AL_2,A5
0.33,0.068,0,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0,0.0239,plate_AL_2,A6
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.1057,0.0245,plate_AL_2,A7
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,8,10,0.5005,0.0125,plate_AL_2,B2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.06,1.2,50,0.075,8,10,0.4967,0.0131,plate_AL_2,B5
0.033,0.034,50,0.026,10,2,0.75,0.1,3,0.15,0.1,1.2,50,0.075,8,10,0.4774,0.0064,plate_AL_2,B6
0.033,0.034,50,0.078,10,2,0.75,0.3,3,0.15,0.1,0.4,50,0.075,8,10,0.4678,0.0074,plate_AL_2,B7
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.15,0.02,1.2,50,0.075,24,10,0.713,0.0221,plate_AL_2,B14
0.033,0.0068,50,0.026,10,2,0.75,0.5,3,0.15,0.06,0.4,50,0.075,40,10,0.984,0.0226,plate_AL_2,B15
0.033,0.034,50,0.026,10,2,0.75,0.1,9,0.15,0.02,1.2,50,0.075,24,10,0.6668,0.0087,plate_AL_2,B20
0.033,0.034,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,24,10,0.6383,0.0298,plate_AL_2,B23
0.033,0.034,50,0.026,10,2,0.75,0.1,9,0.15,0.06,0.4,50,0.075,40,10,0.7758,0.0221,plate_AL_2,C4
0.033,0.034,50,0.026,10,2,0.75,0.1,9,0.15,0.06,2,50,0.075,8,10,0.5377,0.0147,plate_AL_2,C5
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,40,10,1.0398,0.0771,plate_AL_2,C10
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.1,2,50,0.075,8,10,0.5243,0.0098,plate_AL_2,C11
0.033,0.0204,50,0.026,10,2,0.75,0.1,3,0.15,0.1,1.2,50,0.075,40,10,0.9102,0.0657,plate_AL_2,C12
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.15,0.1,1.2,50,0.075,8,10,0.5179,0.0185,plate_AL_2,C19
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.02,1.2,50,0.075,40,10,1.0035,0.0292,plate_AL_2,C22
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.02,2,50,0.075,24,10,0.7493,0.0186,plate_AL_2,C23
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.06,1.2,50,0.075,40,10,1.0237,0.0193,plate_AL_2,D2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.06,2,50,0.075,24,10,0.7582,0.0033,plate_AL_2,D3
0.033,0.034,50,0.078,10,2,0.75,0.3,3,0.15,0.02,2,50,0.075,24,10,0.7141,0.0388,plate_AL_2,D4
0.033,0.034,50,0.026,10,2,0.45,0.5,3,0.15,0.06,1.2,50,0.075,40,10,0.5999,0.0139,plate_AL_2,D5
0.033,0.034,50,0.026,10,2,0.75,0.3,9,0.15,0.02,1.2,50,0.075,40,10,1.1887,0.0445,plate_AL_2,D18
0.033,0.034,50,0.026,10,2,0.75,0.3,9,0.15,0.1,1.2,50,0.075,24,10,0.8497,0.0054,plate_AL_2,D19
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.1,2,50,0.075,24,10,0.7496,0.0389,plate_AL_2,E2
0.099,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.02,1.2,50,0.075,40,10,1.0153,0.0352,plate_AL_2,E3
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.15,0.1,2,50,0.075,8,10,0.4585,0.0164,plate_AL_2,E4
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.15,0.1,1.2,50,0.075,24,10,0.641,0.011,plate_AL_2,E5
0.099,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.1,2,50,0.075,8,10,0.4374,0.0081,plate_AL_2,E6
