iteration,score,scores_std
1,0.0739858478051147,0.13697593342474393
2,0.5804404466020356,0.09695361415921959
3,0.4851102874205374,0.051352220173930284
4,0.48902930315513415,0.07232910985347141
5,0.5709906077124376,0.06884997844048077
6,0.785521729182004,0.023087804144365703
7,0.8911369608618045,0.022871135068429284
8,0.9051434511728444,0.010905205628429731
9,0.9204462949605215,0.006361646443417335
10,0.9223397040128747,0.00851891062537378
