nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.02,2,50,0.225,24,10,22542,23494,23334,E7,E14,E21,23123.3,416.2,0.7063,0.0175,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.1,2,50,0.225,8,10,17838,18415,17868,E8,E15,E22,18040.3,265.2,0.4925,0.0112,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.15,0.02,1.2,50,0.075,40,10,31604,31494,31979,E23,F3,F5,31692.3,207.6,1.0668,0.0087,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,9,0.15,0.06,1.2,50,0.075,40,10,32473,33052,32156,F2,F4,F6,32560.3,371,1.1033,0.0156,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.15,0.06,1.2,50,0.075,40,10,26744,27104,28492,F7,F10,F13,27446.7,753.6,0.8882,0.0317,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.15,0.02,2,50,0.225,40,10,32488,30609,30907,F8,F11,F14,31334.7,824.6,1.0518,0.0347,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.06,1.2,50,0.225,40,10,30196,29469,29605,F9,F12,F15,29756.7,315.6,0.9854,0.0133,plate_AL_2
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.15,0.02,2,50,0.075,40,10,29216,29470,26367,F16,F19,F22,28351,1406.7,0.9263,0.0592,plate_AL_2
0.099,0.034,50,0.026,10,2,0.75,0.5,3,0.15,0.1,1.2,50,0.075,40,10,31288,28917,28273,F17,F20,F23,29492.7,1296.4,0.9743,0.0545,plate_AL_2
0.033,0.0204,50,0.078,10,2,0.75,0.5,3,0.15,0.06,2,50,0.075,40,10,29237,29771,27749,F18,F21,G2,28919,855.6,0.9501,0.036,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.5,9,0.15,0.02,2,50,0.075,40,10,33252,31321,31570,G3,G5,G7,32047.7,857.6,1.0818,0.0361,plate_AL_2
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.15,0.06,2,50,0.075,40,10,32760,33701,32966,G4,G6,G8,33142.3,403.9,1.1278,0.017,plate_AL_2
0.033,0.034,50,0.13,10,2,0.75,0.5,3,0.15,0.06,2,50,0.075,40,10,27353,27349,26921,G9,G10,G11,27207.7,202.7,0.8782,0.0085,plate_AL_2
0.033,0.034,50,0.026,10,2,0.75,0.3,3,0.45,0.02,0.4,50,0.075,8,10,18083,17400,17868,G12,G13,G14,17783.7,285.1,0.4817,0.012,plate_AL_2
