row,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
A,17655.0,10137.7,8243.7,5925.7,2816.3,3801.7,17655.0,10137.7,8243.7,5925.7,2816.3,3801.7,17655.0,10137.7,8243.7,5925.7,2816.3,3801.7,0,0,0,0
B,20347.3,20347.3,20347.3,20010.3,20010.3,20010.3,9363.7,9363.7,9363.7,15580.0,15580.0,15580.0,20049.3,20049.3,20049.3,12571.7,12571.7,12571.7,18784.3,18784.3,18784.3,10263.7
C,10263.7,10263.7,16259.7,22831.3,22831.3,16259.7,22831.3,21818.7,16259.7,21818.7,21818.7,11675.7,11675.7,11675.7,15962.3,11133.7,15962.3,11133.7,15962.3,11133.7,16374.7,16374.7
D,16374.7,16828.3,16828.3,16828.3,10159.3,10159.3,10159.3,16890.0,17534.3,21076.0,16890.0,17534.3,21076.0,16890.0,17534.3,21076.0,11213.7,11773.0,11213.7,11773.0,11213.7,11773.0
E,9974.3,9974.3,9974.3,24756.7,24756.7,24756.7,26426.3,28408.3,26426.3,28408.3,26426.3,28408.3,21148.3,21148.3,21148.3,20272.0,21616.0,19413.7,20272.0,21616.0,19413.7,20272.0
F,21616.0,19413.7,18159.7,18159.7,18159.7,21640.0,21640.0,21640.0,19126.7,26600.7,19126.7,26600.7,19126.7,26600.7,6351.0,6351.0,6351.0,18782.7,18782.7,18782.7,7963.7,7963.7
G,7963.7,11752.3,11752.3,11752.3,15392.3,19106.3,15392.3,19106.3,15392.3,19106.3,12899.3,12899.3,12899.3,13776.7,13776.7,13776.7,14420.0,14420.0,14420.0,6022.3,6022.3,6022.3
H,24007.7,26817.0,25931.3,24007.7,26817.0,25931.3,24007.7,26817.0,25931.3,25315.3,25315.3,25315.3,22486.7,22486.7,22486.7,6292.0,6292.0,6292.0,14533.7,14973.0,18504.7,16549.0
I,14533.7,14973.0,18504.7,16549.0,14533.7,14973.0,18504.7,16549.0,6322.7,6322.7,6322.7,14526.3,14526.3,14526.3,31615.0,31615.0,31615.0,27602.3,25635.0,27602.3,25635.0,27602.3
J,25635.0,15287.7,15287.7,15287.7,19876.3,19876.3,19876.3,6824.3,31831.3,6107.7,6824.3,31831.3,6107.7,6824.3,31831.3,6107.7,18257.0,18257.0,18257.0,16941.0,16941.0,16941.0
K,7153.3,27410.3,7153.3,27410.3,7153.3,27410.3,12781.7,12781.7,12781.7,26435.0,26435.0,26435.0,20342.3,20342.3,20342.3,34366.3,34366.3,34366.3,31193.3,31193.3,31193.3,26658.0
L,29228.7,28330.0,26658.0,29228.7,28330.0,26658.0,29228.7,28330.0,34455.7,35773.0,32461.7,34455.7,35773.0,32461.7,34455.7,35773.0,32461.7,30614.7,33241.0,30614.7,33241.0,30614.7
M,33241.0,38693.7,39403.3,38693.7,39403.3,38693.7,39403.3,40681.3,40404.3,40681.3,40404.3,40681.3,40404.3,36015.0,36015.0,36015.0,34515.7,34515.7,34515.7,43058.7,43058.7,43058.7
N,32028.3,32028.3,32028.3,40905.3,38871.7,40442.0,38142.3,41394.7,40905.3,38871.7,40442.0,38142.3,41394.7,40905.3,38871.7,40442.0,38142.3,41394.7,40583.0,42074.7,40583.0,42074.7
O,40583.0,42074.7,40259.7,40259.7,40259.7,34814.3,41493.7,34814.3,41493.7,34814.3,41493.7,40300.3,40300.3,40300.3,5254.3,5254.3,5254.3,3446.7,3446.7,3446.7,0,0
P,9613.7,17919.7,9374.5,13213.5,42482.3,42248.3,40169.7,9613.7,17919.7,9374.5,13213.5,42482.3,42248.3,40169.7,9613.7,17919.7,9374.5,13213.5,42482.3,42248.3,40169.7,0
