Name,Mean,Std
nad,-0.05194664881043727,0.10749108754593475
folinic_acid,0.2285378446570056,0.027491501900497043
coa,-0.30387972320513573,0.14767957271473983
nucleo_mix,-0.7949578380294862,0.4775312184403094
spermidin,-1.8228930649644575,0.05249381740460358
pga,-1.5072977775371499,0.48773385391405155
aa,0.49198175637035185,0.06808203795162553
trna,-0.029168838519528728,0.07424446827411776
mg_gluta,0.7902169546893258,0.19849436273066548
camp,-0.4907852792340188,0.2503720819201278
K_gluta,1.4668304924396103,0.44166705355363534
intercept,1.2386631901144085,0.20543838983119708
