nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.033,0.0204,0.026,0.75,0.5,3,0.75,0.06,0.4,0.075,40,0.5909,0.0193
0.099,0.0068,0.026,0.15,0.1,15,0.75,0.06,2,0.375,8,0.7,0.0115
0.033,0.034,0.078,1.5,1,9,0.45,0.1,4,0.075,80,0.3104,0.0072
0.165,0.068,0.13,1.5,0.1,9,0.45,0.06,4,0.075,80,1.0109,0.0206
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,40,0.9036,0.0117
0.33,0.068,0.078,1.5,0.3,9,0.45,0.06,4,0.075,80,0.7653,0.0106
0.033,0.0068,0.026,1.5,0.5,9,0.75,0.06,4,0.075,80,0.9821,0.007
0.165,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,0.8203,0.0458
0.033,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.075,80,0.9223,0.0176
0.099,0.0204,0.13,1.5,0.1,9,0.75,0.02,4,0.375,80,0.8642,0.0058
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.02,4,0.375,80,0.8475,0.0179
0.099,0.034,0.026,1.5,0.3,9,0.75,0.1,4,0.075,80,0.9008,0.1453
0.099,0.0068,0.078,1.5,0.1,9,0.75,0.2,4,0.225,80,0.8959,0.0091
0.099,0.034,0.026,1.5,0.1,9,0.75,0.2,4,0.075,80,0.8314,0.0237
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,80,0.7788,0.0291
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.1,2,0.075,80,0.9738,0.013
0.033,0.034,0.026,1.5,0.1,9,1.5,0.06,2,0.075,80,0.9721,0.0174
0.033,0.034,0.026,1.5,0.1,9,1.5,0.02,4,0.075,80,1.0103,0.0071
0.033,0.0204,0.026,1.5,0.1,9,1.5,0.02,4,0.225,80,1.0321,0.0339
0.099,0.0068,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,0.9664,0.0064
0.099,0.0204,0.026,1.5,0.1,9,1.5,0.06,4,0.075,80,0.9831,0.0146
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,0.8153,0.0045
0.033,0.0068,0.026,1.5,0.3,9,1.5,0.2,4,0.075,80,0.8676,0.0043
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,0.917,0.0018
0.033,0.0068,0.078,1.5,0.3,9,1.5,0.2,4,0.075,80,0.8802,0.0121
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,0.9379,0.0298
0.033,0.068,0.13,1.5,0.1,9,1.5,0.06,4,0.075,80,1.0369,0.0068
0.099,0.0204,0.078,1.5,0.1,9,1.5,0.2,4,0.075,80,0.9612,0.0119
0.033,0.0068,0.078,1.5,0.1,9,1.5,0.2,4,0.375,80,1.0492,0.0144
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,0.9447,0.0129
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,0.9079,0.0142
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,0.8907,0.011
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,0.9482,0.021
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,80,0.8293,0.0126
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,0.9759,0.019
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,0.9543,0.0093
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.3478,0.0189
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0.1305,0.0063
