nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.099,0.068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.5608,0.0445
0.165,0.0068,0.026,1.5,0.3,9,1.5,0.1,4,0.075,80,2.1981,0.0487
0.165,0.0068,0.078,0.45,0.1,15,0.15,0.1,2,0.075,40,0.9277,0.0254
0.165,0.0068,0.078,0.75,0.3,3,0.15,0.02,1.2,0.075,40,1.141,0.0628
0.165,0.0068,0.078,0.75,0.3,9,0.15,0.02,2,0.225,40,0.8977,0.0207
0.165,0.0068,0.078,1.5,0.1,9,0.15,0.1,4,0.075,80,1.0989,0.0968
0.165,0.0068,0.078,1.5,0.1,9,0.45,0.02,4,0.075,80,1.9068,0.0741
0.165,0.0068,0.13,0.75,0.1,9,0.45,0.02,2,0.075,40,1.5305,0.0057
0.165,0.0204,0.026,0.75,0.3,15,0.45,0.06,2,0.075,40,0.9092,0.0749
0.165,0.0204,0.026,1.5,0.3,9,0.15,0.06,4,0.075,80,1.2447,0.0667
0.165,0.0204,0.078,0.45,0.3,9,0.45,0.1,0.4,0.225,24,1.0786,0.0785
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.02,4,0.075,80,1.5632,0.1155
0.165,0.0204,0.078,1.5,0.1,9,0.15,0.1,4,0.075,80,1.0159,0.034
0.165,0.0204,0.078,1.5,0.1,9,0.75,0.02,4,0.375,80,1.7488,0.2096
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,40,0.9318,0.038
0.165,0.034,0.026,0.45,0.5,9,0.15,0.1,2,0.225,8,0.5866,0.0253
0.165,0.034,0.026,0.75,0.1,15,0.45,0.06,2,0.075,40,1.0387,0.0219
0.165,0.034,0.026,1.5,0.1,9,1.5,0.1,4,0.075,80,2.6645,0.0932
0.165,0.034,0.078,0.75,0.1,9,0.15,0.1,2,0.075,40,1.209,0.0428
0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2,0.075,40,0.593,0.0286
0.165,0.034,0.078,1.5,0.1,9,0.75,0.02,4,0.075,80,2.0889,0.0726
0.165,0.034,0.078,1.5,0.1,9,1.5,0.1,4,0.375,80,2.4791,0.0123
0.165,0.068,0.026,1.5,0.5,9,0.15,0.02,4,0.225,80,0.8327,0.0062
0.165,0.068,0.026,1.5,0.5,9,0.15,0.1,4,0.225,80,0.7683,0.0196
0.165,0.068,0.078,1.5,0.1,9,1.5,0.02,4,0.075,80,2.5219,0.0544
0.165,0.068,0.078,1.5,0.3,9,1.5,0.06,4,0.075,80,2.1186,0.0738
0.165,0.068,0.13,1.5,0.1,9,0.45,0.06,4,0.075,80,1.6284,0.0918
0.165,0.068,0.13,1.5,1,9,0.15,0.1,4,0.075,80,0.2301,0.0093
0.33,0.0068,0.026,1.5,0.1,9,0.45,0.1,4,0.075,80,1.9211,0.1375
0.33,0.0068,0.078,1.5,0.1,9,0.75,0.1,4,0.075,80,1.9628,0.2127
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.02,4,0.375,80,2.5543,0.2144
0.33,0.0068,0.078,1.5,0.1,9,1.5,0.1,4,0.225,80,2.5006,0.0272
0.33,0.0204,0.026,1.5,0.1,9,1.5,0.2,4,0.375,80,2.4818,0.117
0.33,0.0204,0.078,1.5,1,9,0.15,0.2,4,0.075,80,0.2322,0.0045
0.33,0.034,0.078,1.5,0.1,9,1.5,0.06,4,0.075,80,2.5993,0.0254
0.33,0.068,0.078,1.5,0.3,9,0.45,0.06,4,0.075,80,1.5638,0.0446
0.33,0.068,0.26,0.45,1,30,1.5,0.2,4,0.75,80,0.0417,0.0041
0.33,0.068,0.26,1.5,0.1,30,1.5,0.2,4,0.75,80,0.1614,0.0073
