Name,Mean
nad,[0.07139663]
folinic_acid,[0]
coa,[0.01706666]
nucleo_mix,[0.40768069]
spermidin,[0.53953728]
pga,[0.34012879]
aa,[0.42714122]
trna,[0.06547211]
mg_gluta,[0.35835521]
camp,[0.15428651]
K_gluta,[0.41192731]
