Name,Mean
nad,[0.08330488]
folinic_acid,[0.04477397]
coa,[0]
nucleo_mix,[0.37353105]
spermidin,[0.41520416]
pga,[0.36144257]
aa,[0.5604086]
trna,[0.0923644]
mg_gluta,[0.4186871]
camp,[0.06976707]
K_gluta,[0.38452473]
