nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.33,0.0068,50,0.026,10,2,0.15,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.3981,0.0779,plate_AL_1,B7
0.033,0.0204,50,0.026,10,2,0.45,0.3,15,0.75,0.1,0.4,50,0.075,8,10,0.3857,0.0291,plate_AL_1,J15
0.33,0.068,50,0.26,10,2,1.5,1,3,1.5,0.2,4,50,0.75,80,10,0.3796,0.0297,plate_AL_1,N11
0.033,0.0204,50,0.026,10,2,0.15,0.3,15,0.45,0.02,0.4,50,0.225,24,10,0.379,0.2566,plate_AL_1,G9
0.033,0.034,50,0.078,10,2,0.45,0.5,9,0.15,0.02,2,50,0.375,8,10,0.3744,0.0377,plate_AL_1,E5
0.165,0.034,50,0.026,10,2,0.45,0.5,9,0.15,0.1,2,50,0.225,8,10,0.3714,0.0154,plate_AL_1,F2
0.033,0.0068,50,0.026,10,2,1.5,0.1,3,0.15,0.02,0.4,50,0.075,8,10,0.3701,0.0853,plate_AL_1,B11
0.033,0.0068,50,0.026,10,2,0.15,0.5,15,0.45,0.02,1.2,50,0.375,8,10,0.3686,0.2002,plate_AL_1,G15
0.033,0.0204,50,0.078,10,2,0.15,0.3,15,0.45,0.06,1.2,50,0.375,24,10,0.3568,0.1317,plate_AL_1,I7
0.165,0.034,50,0.078,10,2,0.15,0.1,3,0.75,0.1,1.2,50,0.075,8,10,0.3501,0.0866,plate_AL_1,J18
0.165,0.0204,50,0.078,10,2,0.45,0.3,9,0.45,0.1,0.4,50,0.225,24,10,0.3448,0.2362,plate_AL_1,I4
0.033,0.0068,50,0.078,10,2,0.45,0.1,9,0.45,0.06,0.4,50,0.375,8,10,0.3186,0.0765,plate_AL_1,F22
0.033,0.0068,50,0.026,10,2,0.75,0.5,3,0.75,0.06,1.2,50,0.075,8,10,0.3184,0.0252,plate_AL_1,J9
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.75,0.06,2,50,0.075,24,10,0.3126,0.0513,plate_AL_1,L6
0.033,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.3075,0.2236,plate_AL_1,N16
0.033,0.0204,50,0.026,10,2,0.45,0.5,9,0.45,0.06,1.2,50,0.225,24,10,0.2961,0.1997,plate_AL_1,H14
0.033,0.034,50,0.026,10,2,0.45,0.3,9,0.45,0.06,1.2,50,0.075,24,10,0.2677,0.2052,plate_AL_1,G22
0.165,0.034,50,0.13,10,2,0.15,0.3,9,0.15,0.06,2,50,0.075,8,10,0.2625,0.0092,plate_AL_1,E6
0.033,0.0204,50,0.078,10,2,0.45,0.1,9,0.15,0.1,2,50,0.225,40,10,0.2605,0.0613,plate_AL_1,E23
0.033,0.0204,50,0.13,10,2,0.75,0.5,15,0.45,0.02,0.4,50,0.225,8,10,0.2532,0.0505,plate_AL_1,H9
0.165,0.034,50,0.13,10,2,0.45,0.1,3,0.75,0.06,1.2,50,0.375,24,10,0.25,0.0264,plate_AL_1,L13
0.099,0.0204,50,0.026,10,2,0.45,0.1,9,0.45,0.02,0.4,50,0.075,8,10,0.2459,0.1262,plate_AL_1,F19
0.165,0.0204,50,0.026,10,2,0.45,0.1,9,0.15,0.1,0.4,50,0.375,8,10,0.2418,0.0478,plate_AL_1,C22
0.099,0.0068,50,0.13,10,2,0.75,0.3,9,0.75,0.1,0.4,50,0.375,8,10,0.2322,0.0176,plate_AL_1,K11
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.075,80,10,0.222,0.0529,plate_AL_1,N17
0.33,0.0068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.2159,0.0913,plate_AL_1,N18
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.02,4,50,0.75,80,10,0.2066,0.1477,plate_AL_1,N14
0.033,0.0068,50,0.026,10,2,0.15,0.1,30,0.15,0.02,0.4,50,0.075,8,10,0.2039,0.0083,plate_AL_1,C10
0.099,0.0068,50,0.13,10,2,0.75,0.5,9,0.75,0.02,1.2,50,0.375,8,10,0.2025,0.0062,plate_AL_1,K20
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,8,10,0.1963,0.012,plate_AL_1,N6
0.033,0.0068,50,0.13,10,2,0.45,0.5,3,0.45,0.06,2,50,0.225,40,10,0.1956,0.1906,plate_AL_1,I19
0.099,0.0204,50,0.078,10,2,0.15,0.3,15,0.75,0.1,1.2,50,0.075,24,10,0.183,0.0286,plate_AL_1,L5
0.033,0.0204,50,0.078,10,2,0.15,0.5,9,0.45,0.06,2,50,0.225,24,10,0.18,0.1263,plate_AL_1,I10
0.099,0.0068,50,0.078,10,2,0.15,0.3,3,0.45,0.1,0.4,50,0.375,40,10,0.1776,0.042,plate_AL_1,H5
0.033,0.034,50,0.026,10,2,0.45,0.5,9,0.45,0.06,1.2,50,0.375,8,10,0.1625,0.1269,plate_AL_1,H16
0.33,0.068,50,0.026,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.1503,0.1533,plate_AL_1,N15
0.033,0.0068,50,0.13,10,2,0.15,0.3,9,0.15,0.1,2,50,0.075,40,10,0.1186,0.071,plate_AL_1,E18
0.099,0.0068,50,0.026,10,2,0.15,0.1,15,0.75,0.06,2,50,0.375,8,10,0.1106,0.0176,plate_AL_1,K8
0.099,0.0204,50,0.13,10,2,0.15,0.1,9,0.45,0.02,0.4,50,0.075,24,10,0.1032,0.0387,plate_AL_1,G3
0.165,0.0204,50,0.13,10,2,0.15,0.5,15,0.75,0.1,0.4,50,0.075,8,10,0.086,0.02,plate_AL_1,K14
0.033,0.034,50,0.078,10,2,0.15,0.1,9,0.15,0.02,1.2,50,0.225,40,10,0.0845,0.0708,plate_AL_1,D18
0.165,0.034,50,0.026,10,2,0.15,0.5,9,0.75,0.06,0.4,50,0.375,8,10,0.0826,0.0325,plate_AL_1,K2
0.099,0.0204,50,0.026,10,2,0.15,0.5,9,0.45,0.06,2,50,0.075,8,10,0.0587,0.1045,plate_AL_1,G21
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,4,50,0.75,80,10,0.0563,0.0191,plate_AL_1,O16
0.033,0.0068,50,0.026,10,2,0.45,0.5,9,0.45,0.06,2,50,0.075,24,10,0.0499,0.0239,plate_AL_1,H15
0.033,0.0204,50,0.026,10,2,0.15,0.1,15,0.15,0.02,2,50,0.225,24,10,0.047,0.0115,plate_AL_1,D13
0.33,0.068,50,0.26,10,2,1.5,0.1,30,1.5,0.2,4,50,0.75,80,10,0.0354,0.063,plate_AL_1,N19
0.165,0.0068,50,0.026,10,2,0.15,0.1,9,0.15,0.02,0.4,50,0.375,24,10,0.0263,0.0091,plate_AL_1,C4
0.033,0.0068,50,0.078,10,2,0.45,0.5,3,0.45,0.02,2,50,0.375,24,10,0.0222,0.1364,plate_AL_1,H23
0.165,0.0068,50,0.13,10,2,0.15,0.1,9,0.75,0.1,2,50,0.225,24,10,0.0163,0.0113,plate_AL_1,L19
0.33,0.068,50,0.26,10,2,1.5,1,30,0.15,0.2,4,50,0.75,80,10,0.0147,0.0233,plate_AL_1,L22
0.033,0.034,0,0.13,10,2,0.75,0.5,15,0.75,0.02,2,50,0.375,40,10,0,0.056,plate_AL_1,M18
0.33,0.068,50,0.26,10,2,0.45,1,30,1.5,0.2,4,50,0.75,80,10,-0.0016,0.094,plate_AL_1,O13
0.33,0.068,50,0.26,10,2,0.15,1,30,1.5,0.2,4,50,0.75,80,10,-0.0064,0.077,plate_AL_1,N20
0.33,0.068,50,0.26,10,2,1.5,1,30,1.5,0.2,0.4,50,0.75,80,10,-0.0245,0.0095,plate_AL_1,N5
0.165,0.0204,50,0.078,10,2,0.75,0.3,9,0.45,0.02,1.2,50,0.375,40,10,-0.4085,0.0131,plate_AL_1,I22
