original_plate,repeated_plate,Name_original,Name_repeated,Mean_original,Std_original,Mean_repeated,Std_repeated,nad,folinic_acid,DNA,coa,peg,RBS,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter
plate_AL_5,plate_AL_6,P6,P6,1.2395,0.1659,0.9077,0.0057,0.033,0.0204,50,0.026,2,10,0.75,0.3,9,0.15,0.06,2,50,0.225,40,10
plate_AL_9,plate_AL_10,P7,P6,2.5839,0.1924,2.2815,0.0829,0.165,0.068,50,0.026,2,10,1.5,0.1,9,1.5,0.06,4,50,0.075,80,10
plate_AL_1,plate_AL_2,L16,P5,0.8326,0.0585,0.8798,0.1068,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_3,L16,P5,0.8326,0.0585,0.6545,0.1832,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_4,L16,P5,0.8326,0.0585,0.7731,0.3356,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_5,L16,P5,0.8326,0.0585,0.8348,0.0593,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_6,L16,P5,0.8326,0.0585,0.8793,0.0245,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_7,L16,P5,0.8326,0.0585,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_8,L16,P5,0.8326,0.0585,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_9,L16,P5,0.8326,0.0585,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_1,plate_AL_10,L16,P5,0.8326,0.0585,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_3,P5,P5,0.8798,0.1068,0.6545,0.1832,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_4,P5,P5,0.8798,0.1068,0.7731,0.3356,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_5,P5,P5,0.8798,0.1068,0.8348,0.0593,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_6,P5,P5,0.8798,0.1068,0.8793,0.0245,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_7,P5,P5,0.8798,0.1068,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_8,P5,P5,0.8798,0.1068,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_9,P5,P5,0.8798,0.1068,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_2,plate_AL_10,P5,P5,0.8798,0.1068,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_4,P5,P5,0.6545,0.1832,0.7731,0.3356,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_5,P5,P5,0.6545,0.1832,0.8348,0.0593,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_6,P5,P5,0.6545,0.1832,0.8793,0.0245,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_7,P5,P5,0.6545,0.1832,0.9843,0.0935,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_8,P5,P5,0.6545,0.1832,0.8646,0.1588,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_9,P5,P5,0.6545,0.1832,0.8511,0.0331,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
plate_AL_3,plate_AL_10,P5,P5,0.6545,0.1832,0.9898,0.0402,0.033,0.0068,50,0.026,2,10,0.75,0.3,15,0.75,0.02,2,50,0.375,24,10
