nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1,normalised_yield,normalised_sd
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,0.8676,0.0043,DH5,M18,1.716104,0.006622
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,0.8802,0.0121,DH5,N2,1.735508,0.018634
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.8907,0.011,DH5,N21,1.751678,0.01694
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,0.8959,0.0091,DH5,L10,1.759686,0.014014
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,0.9008,0.1453,DH5,L3,1.767232,0.223762
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,0.9036,0.0117,DH5,K8,1.771544,0.018018
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,0.9079,0.0142,DH5,N20,1.778166,0.021868
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,0.917,0.0018,DH5,M21,1.79218,0.002772
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,0.9178,0.0231,DH5,H22,1.793412,0.035574
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,0.921,0.0008,DH5,H20,1.79834,0.001232
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,0.9223,0.0176,DH5,K20,1.800342,0.027104
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,0.924,0.0023,DH5,P6,1.80296,0.003542
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,0.9368,0.0074,DH5,H14,1.822672,0.011396
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,0.9379,0.0298,DH5,N5,1.824366,0.045892
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,0.942,0.0111,DH5,H3,1.83068,0.017094
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,0.9447,0.0129,DH5,N9,1.834838,0.019866
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,0.9462,0.0365,DH5,I19,1.837148,0.05621
