# nad;folinic_acid;coa;nucleo_mix;spermidin;pga;aa;trna;mg_gluta;camp;K_gluta;y_data;y_data_std;y_pr;y_std_pr
0.011979;0.000063;0.010546;3.375000;0.333333;16200.000000;1.687500;0.008000;64.000000;0.140625;512000.000000;2.001800;0.015300;1.312872;0.290568
0.011979;0.000189;0.003515;3.375000;0.333333;16200.000000;3.375000;0.000800;64.000000;0.421875;512000.000000;2.076200;0.030400;1.343493;0.346610
0.011979;0.000189;0.003515;1.687500;0.333333;27000.000000;1.012500;0.000800;19.200000;0.140625;256000.000000;0.951000;0.019500;1.051628;0.281946
0.035937;0.000314;0.017576;1.687500;0.333333;5400.000000;0.337500;0.000800;6.400000;0.421875;51200.000000;0.490900;0.011800;1.073290;0.358035
0.011979;0.000063;0.010546;1.012500;1.000000;27000.000000;0.337500;0.002400;19.200000;0.140625;256000.000000;0.678500;0.004800;1.026857;0.386477
0.011979;0.000314;0.003515;3.375000;0.333333;16200.000000;3.375000;0.002400;32.000000;0.140625;512000.000000;1.747400;0.033400;1.313237;0.307535
0.011979;0.000063;0.003515;3.375000;1.000000;16200.000000;3.375000;0.008000;64.000000;0.140625;512000.000000;1.747400;0.031900;1.449000;0.363037
0.035937;0.000314;0.003515;3.375000;1.000000;16200.000000;1.687500;0.004000;64.000000;0.140625;512000.000000;2.013800;0.029000;1.459213;0.410178
