name,Time_1,Time_2,Time_3,Time_4,Time_5
N16,15817,15640,15430,15213,15207
N17,16409,16192,16146,15901,15743
N18,16807,16715,16444,16220,16195
N19,18408,18391,18095,17982,17839
N20,17320,17165,16889,16742,16573
N21,17261,17047,16824,16654,16438
N22,18302,17983,17826,17601,17580
N23,17366,17072,16873,16725,16595
N24,467,468,467,467,465
O2,16135,15771,15541,15355,15304
O3,16130,15694,15472,15254,15232
O4,16931,16607,16388,16262,16121
O5,16705,16381,16195,16060,15993
O6,16922,16614,16404,16251,16179
O7,14445,14162,13936,13803,13744
O8,16528,16192,15955,15823,15746
O9,14094,13851,13692,13583,13614
O10,16933,16591,16344,16132,16110
O11,15454,15037,14796,14720,14560
O12,17159,16739,16541,16326,16251
O13,18852,18486,18160,18034,18019
O14,18848,18557,18289,18170,17995
O15,18156,18034,17797,17653,17533
O16,7693,7466,7330,7237,7206
O17,7935,7797,7619,7597,7548
O18,7849,7667,7509,7407,7378
O19,2801,2787,2753,2727,2739
O20,2848,2801,2758,2722,2735
O21,2765,2723,2681,2661,2692
O22,472,472,472,477,482
O23,465,464,463,464,460
O24,440,441,445,447,443
P2,6752,6450,6235,6052,5953
P3,7366,7156,7030,6949,6917
P4,7295,6949,6776,6635,6613
P5,8674,8366,8175,8010,7967
P6,16936,16622,16307,16033,15895
P7,16870,16500,16185,15857,15721
P8,16242,15968,15832,15557,15517
P9,7845,7402,7057,6865,6768
P10,8491,8238,8024,7902,7857
P11,8333,7808,7450,7231,7153
P12,8316,8088,7919,7782,7783
P13,17867,17381,17096,16842,16708
P14,18650,18140,17811,17447,17364
P15,16801,16452,16242,16041,15918
P16,7437,7076,6797,6639,6599
P17,7445,7195,7052,6957,6895
P18,7873,7456,7196,7000,6948
P19,8115,7922,7716,7591,7582
P20,17859,17520,17264,16966,16918
P21,17852,17464,17118,16967,16878
P22,16765,16512,16249,16029,15984
P23,6272,6139,6119,5967,5895
P24,444,443,447,444,442
