nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,20,10,8683,9191,8045,E2,E3,E4,8639.7,468.9,1.3237,0.1071,rifaxamin
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,8816,8501,8949,C4,C7,C10,8755.3,187.9,1.3501,0.0429,rifaxamin
0.033,0.0068,50,0.026,10,2,0.45,0.1,15,0.15,0.06,0.4,50,0.075,20,10,8804,8743,8850,B8,B9,B10,8799,43.8,1.3601,0.01,rifaxamin
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,8757,8598,9127,H20,I2,I6,8827.3,221.6,1.3666,0.0506,rifaxamin
0.033,0.0204,50,0.078,10,2,0.45,0.1,15,0.15,0.02,1.2,50,0.075,20,10,8551,9204,8880,B17,B18,B19,8878.3,266.6,1.3782,0.0609,rifaxamin
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,8751,9155,8764,D10,D13,D16,8890,187.5,1.3809,0.0428,rifaxamin
0.033,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,0.4,50,0.075,20,10,9103,9057,8791,F22,F23,G2,8983.7,137.5,1.4023,0.0314,rifaxamin
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.45,0.02,2,50,0.075,20,10,8799,9356,8959,H21,I3,I7,9038,234.2,1.4147,0.0535,rifaxamin
0.165,0.0068,50,0.078,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,9714,8897,8813,C22,C23,D2,9141.3,406.4,1.4383,0.0929,rifaxamin
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,9325,9542,9318,H23,I5,I9,9395,104,1.4963,0.0238,rifaxamin
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,9516,9499,9295,H14,H15,H16,9436.7,100.4,1.5058,0.0229,rifaxamin
0.165,0.0204,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,9350,9307,9705,D9,D12,D15,9454,178.3,1.5097,0.0408,rifaxamin
0.099,0.034,50,0.13,10,2,0.15,0.3,3,0.15,0.06,1.2,50,0.225,4,10,9993,8549,9891,B11,B12,B13,9477.7,658,1.5152,0.1503,rifaxamin
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,9768,9740,9479,G6,G8,G10,9662.3,130.1,1.5573,0.0297,rifaxamin
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,9854,9645,9719,C16,C18,C20,9739.3,86.5,1.5749,0.0198,rifaxamin
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,9578,9656,10211,G18,G19,G20,9815,281.8,1.5922,0.0644,rifaxamin
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,9810,9690,10146,G3,G4,G5,9882,193,1.6075,0.0441,rifaxamin
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,9987,9882,9833,E14,E15,E16,9900.7,64.2,1.6118,0.0147,rifaxamin
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,10088,9788,9984,G15,G16,G17,9953.3,124.4,1.6238,0.0284,rifaxamin
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,9664,10082,10387,D3,D4,D5,10044.3,296.4,1.6446,0.0677,rifaxamin
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,10007,10139,10077,B14,B15,B16,10074.3,53.9,1.6515,0.0123,rifaxamin
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,9696,10771,10087,J3,J4,J5,10184.7,444.3,1.6767,0.1015,rifaxamin
0.033,0.034,50,0.026,10,2,0.75,0.5,3,0.45,0.02,2,50,0.075,4,10,10254,10048,10363,F10,F12,F14,10221.7,130.6,1.6851,0.0298,rifaxamin
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,10389,10566,10086,H11,H12,H13,10347,198.2,1.7138,0.0453,rifaxamin
0.033,0.034,50,0.078,10,2,0.75,0.5,3,0.45,0.1,0.4,50,0.075,12,10,10979,10093,10035,F19,F20,F21,10369,432,1.7188,0.0987,rifaxamin
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,10795,10281,10155,H2,H5,H8,10410.3,276.8,1.7283,0.0632,rifaxamin
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,10519,10530,10225,J6,J7,J8,10424.7,141.3,1.7315,0.0323,rifaxamin
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,10530,10443,10375,B20,B21,B22,10449.3,63.4,1.7372,0.0145,rifaxamin
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,10541,10552,10644,K14,K15,K16,10579,46.2,1.7668,0.0106,rifaxamin
