nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,AB,AB_std,OB,OB_std,PS,PS_std,rifaxamin,rifaxamin_std,spectomycin,spectomycin_std,DH5_alpha,DH5_alpha_std,model,model_std,In_20
0.099,0.034,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,20,0.7257,0.0781,0.8959,0.075,1.0231,0.0446,1.6238,0.0284,1.2073,0.0532,1.0069,0.007,0.715952,0.037709,
0.099,0.034,0.078,0.75,0.3,15,0.15,0.06,2,0.225,20,0.4739,0.0342,0.9319,0.1733,0.7419,0.0268,1.3237,0.1071,1.2452,0.0501,1.1824,0.0443,0.992372,0.037062,
0.033,0.0204,0.026,0.75,0.5,9,0.75,0.02,2,0.075,20,0.6598,0.0245,0.9331,0.0314,0.8131,0.0299,0.8842,0.0143,1.1059,0.1187,0.9036,0.0117,0.840321,0.058617,
0.099,0.034,0.13,0.75,0.3,9,0.45,0.02,2,0.075,20,1.3024,0.0265,0.9745,0.188,1.1527,0.0143,1.5058,0.0229,1.1649,0.0238,0.9368,0.0074,1.150208,0.039182,
0.165,0.034,0.078,0.75,0.1,9,0.15,0.1,2,0.075,20,1.209,0.0428,0.9824,0.0173,0.8248,0.0224,1.7998,0.1492,1.2178,0.0586,1.135,0.0352,0.921024,0.038385,
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,1.2,0.075,20,1.0573,0.0618,0.9885,0.1153,0.8547,0.005,1.7372,0.0145,1.2269,0.0461,1.1442,0.0165,0.8784,0.053174,
0.033,0.0068,0.13,0.75,0.1,9,0.45,0.1,2,0.075,20,1.4031,0.0542,0.9959,0.0567,1.1322,0.0208,1.7283,0.0632,1.3076,0.0356,1.1449,0.0096,1.048109,0.031989,
0.033,0.0204,0.026,0.75,0.1,15,0.45,0.02,1.2,0.075,20,0.5917,0.026,1.0004,0.0645,0.951,0.0195,1.6075,0.0441,1.1868,0.0242,1.1629,0.033,0.754261,0.033025,
0.033,0.0204,0.13,0.75,0.3,15,0.15,0.1,2,0.075,20,0.556,0.0279,1.0031,0.0844,0.6949,0.01,1.2583,0.0973,1.1736,0.0184,1.2243,0.0344,0.972335,0.041441,
0.165,0.0068,0.13,0.75,0.1,9,0.45,0.02,2,0.075,20,1.5305,0.0057,1.0188,0.0549,1.1752,0.0085,1.8024,0.0187,1.2691,0.0587,0.9492,0.0203,1.055257,0.049214,
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,20,1.2582,0.0512,1.0691,0.0224,0.8582,0.0358,1.9043,0.0503,1.3652,0.0598,1.1287,0.0192,1.053702,0.041671,
0.099,0.0068,0.026,0.75,0.1,9,0.15,0.1,2,0.075,20,1.3252,0.0242,1.0691,0.0224,0.8893,0.0183,2.0054,0.0919,1.3852,0.0208,1.0995,0.0546,1.053702,0.041671,
0.099,0.034,0.078,0.75,0.3,15,0.45,0.02,2,0.075,20,0.8049,0.0352,1.0888,0.0468,1.0155,0.0302,1.4147,0.0535,1.141,0.0356,0.9938,0.0155,1.135747,0.030133,
0.165,0.034,0.078,0.75,0.3,15,0.15,0.02,2,0.075,20,0.593,0.0286,1.1168,0.041,0.7543,0.0138,1.2354,0.0922,1.0937,0.0642,0.9926,0.0176,1.122877,0.039716,
0.033,0.034,0.026,0.75,0.5,9,0.45,0.02,1.2,0.075,20,0.6676,0.0564,1.1328,0.0586,0.8681,0.026,1.011,0.0095,1.1124,0.0423,0.771,0.0122,0.981464,0.040458,
0.099,0.034,0.026,0.75,0.3,15,0.45,0.02,2,0.225,20,0.7758,0.0954,1.1365,0.0306,1.022,0.0248,1.3666,0.0506,1.1995,0.0628,0.921,0.0008,1.084166,0.033906,yes
0.033,0.034,0.078,0.75,0.1,9,0.45,0.1,2,0.075,20,1.4897,0.0556,1.1408,0.0258,1.1231,0.0118,1.7138,0.0453,1.296,0.0492,1.1354,0.0098,1.055932,0.047379,yes
0.165,0.0204,0.13,0.75,0.3,9,0.15,0.02,2,0.225,20,0.9318,0.038,1.1424,0.0502,0.8734,0.0118,1.5097,0.0408,1.0971,0.015,1.1055,0.0057,1.103104,0.036829,
