Name,Mean
nad,[0.00276191]
folinic_acid,[0]
coa,[0]
nucleo_mix,[0.15646784]
spermidin,[0.35393684]
pga,[0.14795305]
aa,[0.31696342]
trna,[0.04560943]
mg_gluta,[0.17794551]
camp,[0]
K_gluta,[0.28037522]
