nad,folinic_acid,coa,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,camp,K_gluta,yield,yield_std
0.165,0.034,0.026,0.75,0.1,15.0,0.45,0.06,2.0,0.075,20.0,1.1229,0.0914
0.165,0.0204,0.026,0.75,0.3,15.0,0.45,0.06,2.0,0.075,20.0,1.0704,0.1031
0.33,0.0204,0.078,1.5,1.0,9.0,0.15,0.2,4.0,0.075,40.0,0.1374,0.0047
0.033,0.034,0.026,0.75,0.3,15.0,0.45,0.1,2.0,0.225,20.0,0.9456,0.0336
0.165,0.0068,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.075,40.0,1.9262,0.0214
0.033,0.0204,0.026,1.5,0.3,9.0,0.45,0.1,4.0,0.075,40.0,1.6864,0.0359
0.033,0.034,0.078,1.5,0.1,9.0,0.45,0.02,4.0,0.225,40.0,1.8297,0.0505
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.02,2.0,0.075,4.0,0.4217,0.0199
0.033,0.0204,0.078,1.5,0.5,9.0,0.45,0.1,4.0,0.075,40.0,1.3229,0.037
0.033,0.0068,0.078,1.5,1.0,9.0,0.45,0.06,4.0,0.075,40.0,0.1158,0.0228
0.33,0.0068,0.026,1.5,0.1,9.0,0.45,0.1,4.0,0.075,40.0,2.0051,0.0211
0.033,0.0068,0.026,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.0938,0.0205
0.033,0.0204,0.026,0.75,0.5,3.0,0.75,0.06,0.4,0.075,20.0,0.5533,0.0446
0.099,0.0068,0.026,0.15,0.1,15.0,0.75,0.06,2.0,0.375,4.0,0.5585,0.0126
0.033,0.034,0.078,1.5,1.0,9.0,0.45,0.1,4.0,0.075,40.0,0.1588,0.0113
0.165,0.068,0.13,1.5,0.1,9.0,0.45,0.06,4.0,0.075,40.0,2.0191,0.0215
0.033,0.0204,0.026,0.75,0.5,9.0,0.75,0.02,2.0,0.075,20.0,0.8131,0.0299
0.33,0.068,0.078,1.5,0.3,9.0,0.45,0.06,4.0,0.075,40.0,1.8905,0.0393
0.033,0.0068,0.026,1.5,0.5,9.0,0.75,0.06,4.0,0.075,40.0,1.5611,0.046
0.165,0.034,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.075,40.0,2.2414,0.0026
0.033,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,2.0018,0.0153
0.099,0.0204,0.13,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,1.9887,0.121
0.165,0.0204,0.078,1.5,0.1,9.0,0.75,0.02,4.0,0.375,40.0,2.0636,0.0904
0.099,0.034,0.026,1.5,0.3,9.0,0.75,0.1,4.0,0.075,40.0,2.0138,0.029
0.099,0.0068,0.078,1.5,0.1,9.0,0.75,0.2,4.0,0.225,40.0,1.9851,0.1111
0.099,0.034,0.026,1.5,0.1,9.0,0.75,0.2,4.0,0.075,40.0,2.0144,0.0775
0.33,0.0068,0.078,1.5,0.1,9.0,0.75,0.1,4.0,0.075,40.0,2.0115,0.1161
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.1,2.0,0.075,40.0,1.6652,0.0368
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.06,2.0,0.075,40.0,1.7474,0.0334
0.033,0.034,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,2.1036,0.0124
0.033,0.0204,0.026,1.5,0.1,9.0,1.5,0.02,4.0,0.225,40.0,2.0762,0.0304
0.099,0.0068,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,2.154,0.0192
0.099,0.0204,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.1071,0.1182
0.165,0.0068,0.026,1.5,0.3,9.0,1.5,0.1,4.0,0.075,40.0,1.9153,0.0524
0.033,0.0068,0.026,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,1.7474,0.0319
0.165,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,2.0774,0.0371
0.033,0.0068,0.078,1.5,0.3,9.0,1.5,0.2,4.0,0.075,40.0,1.6745,0.0426
0.165,0.068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.075,40.0,2.1689,0.0144
0.033,0.068,0.13,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.0523,0.0549
0.099,0.0204,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.075,40.0,2.1416,0.0387
0.033,0.0068,0.078,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,2.0194,0.0589
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.02,4.0,0.375,40.0,1.9747,0.0812
0.33,0.0068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,2.05,0.0113
0.33,0.034,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.0157,0.0531
0.165,0.034,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.375,40.0,1.9977,0.0246
0.165,0.068,0.078,1.5,0.3,9.0,1.5,0.06,4.0,0.075,40.0,1.7326,0.0413
0.099,0.068,0.078,1.5,0.1,9.0,1.5,0.1,4.0,0.225,40.0,2.0178,0.0978
0.33,0.0204,0.026,1.5,0.1,9.0,1.5,0.2,4.0,0.375,40.0,2.088,0.0545
0.33,0.068,0.26,1.5,0.1,30.0,1.5,0.2,4.0,0.75,40.0,0.1639,0.0021
0.33,0.068,0.26,0.45,1.0,30.0,1.5,0.2,4.0,0.75,40.0,-0.0197,0.0023
0.165,0.034,0.026,0.75,0.5,15.0,0.45,0.02,2.0,0.225,20.0,0.7508,0.0311
0.099,0.034,0.026,0.75,0.3,15.0,0.75,0.02,1.2,0.375,20.0,1.0,0.0518
0.165,0.0204,0.078,0.75,0.5,9.0,0.15,0.02,0.4,0.375,20.0,0.506,0.0419
0.033,0.0068,0.026,0.75,0.3,15.0,0.75,0.02,2.0,0.375,12.0,0.8843,0.1427
0.165,0.068,0.026,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,2.2385,0.1025
0.099,0.034,0.026,1.5,0.1,9.0,1.5,0.1,4.0,0.075,40.0,2.0462,0.0807
0.033,0.0204,0.078,1.5,0.1,9.0,1.5,0.06,4.0,0.075,40.0,1.9641,0.0542
