nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.099,0.034,50.0,0.078,10.0,2.0,0.75,0.3,15.0,0.15,0.06,2.0,50.0,0.225,20.0,10.0,16492.0,15683.0,15323.0,E2,E3,E4,15832.7,488.8,0.7419,0.0268,example
0.033,0.0068,50.0,0.026,10.0,2.0,1.5,0.1,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,28711.0,28963.0,29558.0,E5,E6,E7,29077.3,355.1,1.4668,0.0194,example
0.165,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,31820.0,32393.0,33392.0,E8,E10,E12,32535.0,649.6,1.656,0.0356,example
0.099,0.034,50.0,0.026,10.0,2.0,1.5,0.1,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,32422.0,32610.0,32355.0,E9,E11,E13,32462.3,107.9,1.6521,0.0059,example
0.033,0.0068,50.0,0.26,10.0,2.0,1.5,0.1,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,28605.0,29168.0,33269.0,E14,E15,E16,30347.3,2078.7,1.5363,0.1138,example
0.033,0.034,50.0,0.13,10.0,2.0,1.5,0.3,9.0,0.15,0.02,4.0,50.0,0.075,40.0,10.0,29243.0,28834.0,28221.0,E17,E20,E23,28766.0,420.0,1.4498,0.023,example
0.165,0.0204,50.0,0.026,10.0,2.0,1.5,0.3,9.0,0.15,0.06,4.0,50.0,0.075,40.0,10.0,28881.0,27607.0,29963.0,E18,E21,F2,28817.0,962.9,1.4525,0.0527,example
0.165,0.0068,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,29483.0,29872.0,29984.0,E19,E22,F3,29779.7,214.7,1.5052,0.0118,example
0.165,0.0204,50.0,0.078,10.0,2.0,1.5,0.1,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,32932.0,32911.0,32420.0,F4,F5,F6,32754.3,236.6,1.668,0.0129,example
0.099,0.0068,50.0,0.026,10.0,2.0,1.5,0.3,9.0,0.15,0.2,4.0,50.0,0.075,40.0,10.0,28248.0,28891.0,29107.0,F7,F8,F9,28748.7,364.8,1.4488,0.02,example
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.5,3.0,0.45,0.02,2.0,50.0,0.075,4.0,10.0,11540.0,12351.0,12679.0,F10,F12,F14,12190.0,478.7,0.5425,0.0262,example
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.3,3.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,21112.0,21613.0,21151.0,F11,F13,F15,21292.0,227.5,1.0407,0.0125,example
0.033,0.0204,50.0,0.026,10.0,2.0,1.5,1.0,9.0,0.15,0.1,4.0,50.0,0.075,40.0,10.0,4640.0,4561.0,4572.0,F16,F17,F18,4591.0,34.9,0.1266,0.0019,example
0.033,0.034,50.0,0.078,10.0,2.0,0.75,0.5,3.0,0.45,0.1,0.4,50.0,0.075,12.0,10.0,13200.0,12793.0,12411.0,F19,F20,F21,12801.3,322.2,0.576,0.0176,example
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,0.4,50.0,0.075,20.0,10.0,18192.0,17612.0,16275.0,F22,F23,G2,17359.7,802.7,0.8255,0.0439,example
0.033,0.0204,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,19776.0,20017.0,19169.0,G3,G4,G5,19654.0,356.8,0.951,0.0195,example
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.5,9.0,0.15,0.02,4.0,50.0,0.225,40.0,10.0,23618.0,23927.0,22518.0,G6,G8,G10,23354.3,604.7,1.1536,0.0331,example
0.165,0.0204,50.0,0.078,10.0,2.0,0.45,0.3,9.0,0.45,0.1,0.4,50.0,0.225,12.0,10.0,14699.0,14731.0,14483.0,G7,G9,G11,14637.7,110.1,0.6765,0.006,example
0.033,0.034,50.0,0.026,10.0,2.0,0.75,0.5,9.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,17848.0,18809.0,17761.0,G12,G13,G14,18139.3,474.9,0.8681,0.026,example
0.099,0.034,50.0,0.026,10.0,2.0,0.75,0.1,15.0,0.45,0.02,1.2,50.0,0.075,20.0,10.0,21932.0,19939.0,21040.0,G15,G16,G17,20970.3,815.1,1.0231,0.0446,example
0.165,0.068,50.0,0.026,10.0,2.0,1.5,0.5,9.0,0.15,0.1,4.0,50.0,0.225,40.0,10.0,22312.0,20834.0,22193.0,G18,G19,G20,21779.7,670.4,1.0674,0.0367,example
0.099,0.068,50.0,0.026,10.0,2.0,1.5,1.0,9.0,0.15,0.06,4.0,50.0,0.225,40.0,10.0,3970.0,4042.0,3544.0,G21,G22,G23,3852.0,219.8,0.0861,0.012,example
0.033,0.0068,50.0,0.13,10.0,2.0,0.75,0.1,9.0,0.45,0.1,2.0,50.0,0.075,20.0,10.0,23452.0,22917.0,22525.0,H2,H5,H8,22964.7,379.9,1.1322,0.0208,example
