AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,MK,NDK,Ppiase,T7RNAP,Replicate 1,Replicate 2,Replicate 3
716.67,30.91,167.30,121.40,13.79,59.84,140.52,86.02,17.02,302.97,16.46,22.15,11.01,132.85,128.10,15.70,85.14,23.53,10.11,5.91,722.89,82.14,291.26,257.73,461.89,986.84,246.91,242.72,67.11,97.09,233.92,107.82,55.30,14.19,30.96,60.67,-0.92631194,6.408849881,8.148290364
143.33,24.73,334.60,72.84,13.79,35.91,46.84,86.02,13.62,378.72,41.15,66.44,16.51,106.28,96.08,31.40,85.14,29.41,7.58,4.44,1204.82,410.68,194.17,386.60,1847.58,328.95,246.91,194.17,134.23,388.35,116.96,21.56,55.30,42.58,30.96,20.22,-1.653135857,5.0149936,5.125251417
143.33,6.18,418.25,48.56,9.20,11.97,187.36,86.02,17.02,75.74,24.69,66.44,16.51,53.14,64.05,31.40,51.08,23.53,10.11,5.91,481.93,410.68,388.35,257.73,1385.68,657.89,98.77,145.63,67.11,388.35,233.92,64.69,138.25,28.39,30.96,80.89,4.204242092,8.344669958,9.292009508
143.33,24.73,418.25,97.12,4.60,35.91,234.20,17.20,6.81,302.97,16.46,44.29,22.02,26.57,32.03,23.55,68.11,23.53,12.63,4.44,240.96,410.68,97.09,128.87,923.79,657.89,49.38,48.54,67.11,194.17,116.96,43.13,110.60,28.39,24.77,101.11,6.087401719,5.074236606,6.481806546
573.33,18.55,334.60,97.12,4.60,11.97,234.20,68.82,17.02,227.23,32.92,66.44,11.01,132.85,128.10,7.85,68.11,11.76,2.53,4.44,1204.82,410.68,97.09,644.33,1847.58,328.95,197.53,194.17,134.23,291.26,58.48,43.13,110.60,14.19,30.96,60.67,2.238251966,7.670506491,8.239349058
286.67,12.36,83.65,24.28,13.79,35.91,140.52,68.82,13.62,302.97,32.92,22.15,22.02,79.71,160.13,7.85,34.05,29.41,10.11,7.39,240.96,164.27,291.26,644.33,2309.47,328.95,49.38,242.72,167.79,291.26,58.48,107.82,27.65,28.39,24.77,40.44,1.971658438,5.411044067,4.807094533
573.33,12.36,167.30,24.28,9.20,35.91,46.84,51.61,3.40,378.72,41.15,110.73,16.51,132.85,96.08,23.55,17.03,23.53,5.05,5.91,240.96,246.41,388.35,644.33,2309.47,1644.74,197.53,97.09,100.67,291.26,233.92,86.25,27.65,56.77,12.38,40.44,1.703967819,6.437922838,-0.259279576
286.67,24.73,167.30,72.84,9.20,23.94,140.52,68.82,13.62,75.74,24.69,66.44,11.01,106.28,32.03,15.70,34.05,11.76,2.53,2.96,240.96,82.14,485.44,386.60,461.89,1644.74,246.91,48.54,67.11,388.35,175.44,64.69,138.25,56.77,30.96,40.44,4.545986469,5.69628817,2.707807643
286.67,12.36,250.95,72.84,9.20,23.94,46.84,68.82,10.21,227.23,32.92,110.73,27.52,53.14,64.05,15.70,51.08,23.53,10.11,7.39,240.96,164.27,97.09,644.33,2309.47,986.84,148.15,97.09,33.56,485.44,292.40,43.13,82.95,28.39,24.77,60.67,3.511976595,9.901444505,-0.776558786
573.33,30.91,418.25,72.84,22.99,23.94,234.20,17.20,13.62,302.97,41.15,44.29,22.02,106.28,96.08,23.55,51.08,5.88,7.58,2.96,240.96,410.68,97.09,515.46,2309.47,1315.79,49.38,194.17,100.67,194.17,116.96,43.13,110.60,14.19,12.38,80.89,7.275004571,6.811482904,0.035838362
