nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,22977,22287,22930,O7,O9,O11,22731.3,314.8,0.8293,0.0126,DH5
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,23096,23306,21954,L11,L14,L17,22785.3,594.1,0.8314,0.0237,DH5
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,22986,22618,22847,B14,B15,B16,22817,151.7,0.8327,0.0061,DH5
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,23092,23780,22691,L2,L5,L8,23187.7,449.7,0.8475,0.0179,DH5
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,23444,23797,23578,K23,L4,L7,23606.3,145.5,0.8642,0.0058,DH5
0.099,0.034,50,0.13,10,2,0.75,0.1,3,0.15,0.02,0.4,50,0.225,4,10,22802,23266,24815,B5,B6,B7,23627.7,860.7,0.865,0.0343,DH5
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,23809,23551,23717,M18,M19,M20,23692.3,106.8,0.8676,0.0043,DH5
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,24135,24299,23590,N2,N3,N4,24008,303.1,0.8802,0.0121,DH5
0.33,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,24599,24287,23926,N21,N23,O3,24270.7,275,0.8907,0.011,DH5
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,24725,24258,24221,L10,L13,L16,24401.3,229.4,0.8959,0.0091,DH5
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,19434,27747,26395,L3,L6,L9,24525.3,3642.2,0.9008,0.1453,DH5
0.033,0.0204,50,0.026,10,2,0.75,0.5,9,0.75,0.02,2,50,0.075,20,10,24202,24669,24911,K8,K9,K10,24594,294.3,0.9036,0.0117,DH5
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,24632,25167,24305,N20,N22,O2,24701.3,355.3,0.9079,0.0142,DH5
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,24995,24900,24897,M21,M22,M23,24930.7,45.5,0.917,0.0018,DH5
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,25683,24267,24900,H22,I4,I8,24950,579.2,0.9178,0.0231,DH5
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,25008,25057,25030,H20,I2,I6,25031.7,20,0.921,0.0008,DH5
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,25660,24609,24921,K20,K21,K22,25063.3,440.7,0.9223,0.0176,DH5
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,25184,25043,25094,P6,P13,P20,25107,58.3,0.924,0.0023,DH5
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.45,0.02,2,50,0.075,20,10,25445,25191,25645,H14,H15,H16,25427,185.8,0.9368,0.0074,DH5
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,24398,25917,26046,N5,N10,N15,25453.7,748.3,0.9379,0.0298,DH5
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,25195,25602,25872,H3,H6,H9,25556.3,278.3,0.942,0.0111,DH5
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,25231,26025,25621,N9,N14,N19,25625.7,324.2,0.9447,0.0129,DH5
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,25939,26618,24429,I19,I21,I23,25662,914.9,0.9462,0.0365,DH5
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,25045,25763,26330,O4,O5,O6,25712.7,525.8,0.9482,0.021,DH5
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,25100,25766,26347,H4,H7,H10,25737.7,509.5,0.9492,0.0203,DH5
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,26039,24763,26749,I16,I17,I18,25850.3,821.7,0.9537,0.0328,DH5
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,25591,26162,25841,O13,O14,O15,25864.7,233.7,0.9543,0.0093,DH5
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,26497,25876,25454,P7,P14,P21,25942.3,428.4,0.9574,0.0171,DH5
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,25623,26183,26311,N7,N12,N17,26039,298.8,0.9612,0.0119,DH5
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,26220,26338,25952,M9,M11,M13,26170,161.5,0.9664,0.0064,DH5
