Buffer,Mg-glutamate,K-glutamate,Amino acid,Spermidine,3-PGA,NTPs,PEG-8000,DNA,yield_1,yield_2,yield_3,yield,yield_std
P3_Buffer 35,0.0,240.0,0.3825,1.5,45.0,0.3825,1.5,10.0,0.3911063687234012,0.4911224983560184,0.4075958162214476,0.4299415611002891,0.0536218778327915
P3_Buffer 36,9.0,160.8,0.0,1.005,45.0,0.0,1.5,1.0,0.1799818851818305,-0.4198171147809474,-0.0981053885380352,-0.112646872712384,0.3001637905553929
P3_Buffer 37,0.0,40.8,1.125,1.5,14.85,0.0,3.0,8.2,-0.1411715076243533,-0.0326314875243495,-0.4203010037594449,-0.1980346663027159,0.1999924437713802
P3_Buffer 38,0.0,40.8,1.125,1.5,14.85,0.0,3.0,8.2,-0.0140948174249662,0.0476196384480808,-0.2786704219760044,-0.0817152003176299,0.1733369205328199
P3_Buffer 39,1.53,240.0,0.0,1.005,22.5,0.0,3.0,2.8,-0.0444681563829919,0.1207240964303884,-0.4790749035323896,-0.134272987828331,0.3098199330293025
P3_Buffer 40,0.0,40.8,0.0,0.255,45.0,0.0,0.99,10.0,0.5635569562142511,0.724989763886993,0.1970296661166045,0.4951921287392828,0.2705379426923165
P3_Buffer 41,2.97,240.0,1.5075,1.5,45.0,0.0,3.0,10.0,0.1720163281511715,0.1710113279650604,0.327530801394593,0.2235194858369416,0.0900778431656116
P3_Buffer 42,9.0,240.0,0.0,0.255,0.0,1.125,0.51,10.0,0.4066652604935667,0.4106480390088958,-0.0477437125451322,0.2565231956524434,0.2635103967574325
P3_Buffer 43,1.53,0.0,0.3825,1.5,0.0,1.5075,0.0,1.0,0.0355968584438626,-0.0963931659987344,-0.3372582106033723,-0.1326848393860814,0.189058297348979
P3_Buffer 44,0.0,0.0,0.0,0.495,0.0,2.25,1.5,1.0,0.0868146457064155,-0.0268620420114895,-0.0169609290668384,0.0143305582093624,0.0629679697512633
P3_Buffer 45,2.97,0.0,0.0,1.5,30.15,0.3825,3.0,10.0,0.4687519386577664,0.3926697023462408,0.1163690956239068,0.325930245542638,0.1854293216753661
P3_Buffer 46,4.5,240.0,1.125,1.5,14.85,0.0,0.0,8.2,0.1576857699418094,0.2061863344789505,-0.5203543556211772,-0.052160750400139,0.4061920914635221
P3_Buffer 47,9.0,79.2,1.125,1.5,0.0,0.0,0.51,8.2,0.036490191942628,0.0083129645024005,-0.696154943732397,-0.2171172624291227,0.4150979572557151
P3_Buffer 48,1.53,40.8,0.3825,1.5,45.0,0.0,2.01,2.8,0.1716813280891345,0.1909252205417074,-0.204784297182277,0.0526074171495216,0.2231153352062073
P3_Buffer 49,9.0,120.0,0.0,0.0,14.85,2.25,3.0,1.0,-0.0423464893234239,0.1064679826792557,0.062769085697979,0.0422968596846035,0.0764903314008779
P3_Buffer 50,9.0,240.0,0.0,0.75,0.0,0.7425,0.99,2.8,0.0237974118143357,0.2179857811084782,-0.1047309453205452,0.0456840825340895,0.1624678157225685
