name,Time_1,Time_2,Time_3,Time_4,Time_5
N6,17252,17100,16774,16386,15948
N7,16540,16354,16098,15779,15234
N8,17283,17073,16905,16567,16072
N9,14675,14588,14314,14003,13629
N10,15911,15531,15197,14819,14326
N11,17014,16785,16543,16245,15839
N12,15726,15537,15343,15052,14562
N13,16882,16661,16449,16266,15805
N14,15190,14811,14494,14138,13709
N15,16248,16090,15753,15440,14974
N16,16590,16493,16263,16046,15781
N17,15712,15581,15318,15057,14697
N18,15379,15135,14922,14656,14356
N19,13038,12905,12704,12441,12119
N20,13563,13462,13282,12957,12602
N21,13846,13766,13441,13220,12812
N22,13559,13543,13403,13097,12680
N23,14457,14284,13887,13504,13043
N24,492,498,493,493,492
O2,14023,13702,13277,12703,12212
O3,14820,14515,14141,13642,13141
O4,13825,13545,13253,12872,12411
O5,14651,14386,14159,13810,13291
O6,16169,15826,15539,15077,14549
O7,14487,14356,14055,13791,13357
O8,15757,15481,15274,14809,14436
O9,15164,14995,14791,14463,14070
O10,16740,16525,16298,15956,15413
O11,14608,14569,14283,13969,13598
O12,16604,16347,16105,15679,15241
O13,15541,14975,14811,14350,13966
O14,16635,16153,15725,15246,14750
O15,16518,16299,15908,15456,15011
O16,8908,8823,8736,8551,8348
O17,8756,8684,8531,8400,8222
O18,8230,8157,8018,7891,7736
O19,4129,4147,4165,4140,4100
O20,4299,4344,4300,4309,4281
O21,4353,4385,4385,4366,4355
O22,490,489,491,491,487
O23,489,491,491,495,492
O24,502,504,506,508,503
P2,13534,13421,13247,13125,12968
P3,12865,12730,12623,12514,12370
P4,11171,10958,10790,10650,10401
P5,14609,14319,13985,13703,13327
P6,17092,16760,16361,15973,15287
P7,16829,16458,16076,15618,15089
P8,16430,16238,15897,15577,15148
P9,10705,10541,10411,10281,10061
P10,12374,12250,12101,11986,11746
P11,12246,12036,11737,11557,11155
P12,10491,10363,10186,9993,9778
P13,16575,16285,15944,15427,14917
P14,16770,16533,16176,15761,15273
P15,17646,17360,17011,16769,16236
P16,10440,10328,10200,10115,11126
P17,10646,10570,10447,10319,11132
P18,11429,11303,11134,11989,11808
P19,12335,12230,12122,12001,12860
P20,15000,14801,14456,14125,13629
P21,15085,14992,14666,14237,13825
P22,14894,14730,14476,14136,13810
P23,485,485,488,487,488
P24,479,483,483,484,482
