nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,yield_std,plaque_name,well_1
0.033,0.0204,50,0.078,10,2,1.5,0.5,9,0.45,0.1,4,50,0.075,40,10,1.1855,0.0362,spectinomycin,J6
0.033,0.0204,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.1868,0.0242,spectinomycin,G3
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.375,40,10,1.1875,0.0978,spectinomycin,N9
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.1,2,50,0.075,40,10,1.1888,0.145,spectinomycin,L19
0.165,0.0204,50,0.026,10,2,0.75,0.3,15,0.45,0.06,2,50,0.075,20,10,1.1897,0.0735,spectinomycin,H23
0.099,0.034,50,0.13,10,2,0.75,0.3,9,0.15,0.02,2,50,0.225,20,10,1.1976,0.0457,spectinomycin,D10
0.165,0.0068,50,0.078,10,2,0.75,0.3,3,0.15,0.02,1.2,50,0.075,20,10,1.199,0.1146,spectinomycin,B14
0.099,0.034,50,0.026,10,2,0.75,0.3,15,0.45,0.02,2,50,0.225,20,10,1.1995,0.0628,spectinomycin,H20
0.165,0.0068,50,0.078,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.2017,0.074,spectinomycin,D3
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.45,0.06,4,50,0.075,40,10,1.2059,0.0169,spectinomycin,K3
0.099,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.02,1.2,50,0.075,20,10,1.2073,0.0532,spectinomycin,G15
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.06,2,50,0.075,40,10,1.2107,0.1023,spectinomycin,L20
0.33,0.068,50,0.078,10,2,1.5,0.3,9,0.45,0.06,4,50,0.075,40,10,1.2109,0.0354,spectinomycin,K11
0.033,0.034,50,0.026,10,2,0.45,0.1,15,0.15,0.1,2,50,0.075,20,10,1.2151,0.0634,spectinomycin,C16
0.165,0.034,50,0.078,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.2178,0.0586,spectinomycin,D11
0.165,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.1,4,50,0.075,40,10,1.22,0.0512,spectinomycin,M15
0.33,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.1,4,50,0.075,40,10,1.2201,0.1439,spectinomycin,L12
0.165,0.034,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.375,40,10,1.2229,0.1173,spectinomycin,O4
0.033,0.0204,50,0.026,10,2,0.75,0.5,3,0.75,0.02,2,50,0.075,4,10,1.2252,0.0179,spectinomycin,J3
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,1.2,50,0.075,20,10,1.2269,0.0461,spectinomycin,B20
0.165,0.034,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.075,40,10,1.2274,0.0173,spectinomycin,K17
0.033,0.0068,50,0.026,10,2,1.5,0.5,9,0.75,0.06,4,50,0.075,40,10,1.2387,0.0618,spectinomycin,K14
0.099,0.034,50,0.078,10,2,0.75,0.3,15,0.15,0.06,2,50,0.225,20,10,1.2452,0.0501,spectinomycin,E2
0.165,0.068,50,0.078,10,2,1.5,0.3,9,1.5,0.06,4,50,0.075,40,10,1.2574,0.0396,spectinomycin,O7
0.165,0.034,50,0.026,10,2,0.75,0.1,15,0.45,0.06,2,50,0.075,20,10,1.2596,0.1066,spectinomycin,H22
0.165,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.02,2,50,0.075,20,10,1.2691,0.0587,spectinomycin,H4
0.099,0.0068,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.2773,0.0804,spectinomycin,H3
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.2818,0.0723,spectinomycin,L2
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,40,10,1.2822,0.0404,spectinomycin,G18
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.02,4,50,0.225,40,10,1.2891,0.0314,spectinomycin,G6
0.165,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.2914,0.0742,spectinomycin,M21
0.033,0.034,50,0.078,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.296,0.0492,spectinomycin,H11
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.3032,0.0346,spectinomycin,E8
0.033,0.0068,50,0.13,10,2,0.75,0.1,9,0.45,0.1,2,50,0.075,20,10,1.3076,0.0356,spectinomycin,H2
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.3103,0.1068,spectinomycin,E19
0.033,0.0068,50,0.078,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.3196,0.0443,spectinomycin,N2
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.3207,0.0522,spectinomycin,K20
0.099,0.0204,50,0.13,10,2,1.5,0.1,9,0.75,0.02,4,50,0.375,40,10,1.3216,0.0682,spectinomycin,K23
0.033,0.0068,50,0.026,10,2,0.75,0.3,9,0.15,0.06,2,50,0.225,20,10,1.3234,0.0664,spectinomycin,C4
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.75,0.2,4,50,0.075,40,10,1.3269,0.0457,spectinomycin,L11
0.033,0.0204,50,0.026,10,2,0.75,0.3,3,0.45,0.02,1.2,50,0.075,20,10,1.3375,0.0269,spectinomycin,F11
0.033,0.0068,50,0.026,10,2,1.5,0.3,9,1.5,0.2,4,50,0.075,40,10,1.3393,0.0299,spectinomycin,M18
0.165,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,1.3462,0.0684,spectinomycin,N5
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.75,0.1,4,50,0.075,40,10,1.3506,0.0699,spectinomycin,L3
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.3652,0.0598,spectinomycin,C5
0.099,0.034,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.3663,0.031,spectinomycin,E9
0.099,0.0068,50,0.078,10,2,1.5,0.1,9,0.75,0.2,4,50,0.225,40,10,1.3711,0.0877,spectinomycin,L10
0.33,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,1.3777,0.0593,spectinomycin,O13
0.033,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.075,40,10,1.3801,0.0934,spectinomycin,M3
0.165,0.068,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.3825,0.095,spectinomycin,P6
0.099,0.0068,50,0.026,10,2,0.75,0.1,9,0.15,0.1,2,50,0.075,20,10,1.3852,0.0208,spectinomycin,C9
0.033,0.0204,50,0.026,10,2,1.5,0.3,9,0.45,0.1,4,50,0.075,40,10,1.3911,0.0683,spectinomycin,I19
0.033,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.02,4,50,0.225,40,10,1.3953,0.02,spectinomycin,M4
0.099,0.034,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.3982,0.086,spectinomycin,P7
0.033,0.034,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.225,40,10,1.4038,0.044,spectinomycin,I20
0.099,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.075,40,10,1.4119,0.0388,spectinomycin,N7
0.099,0.0204,50,0.026,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.4252,0.0307,spectinomycin,M10
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.06,4,50,0.075,40,10,1.4289,0.0359,spectinomycin,E18
0.165,0.0204,50,0.078,10,2,1.5,0.1,9,0.15,0.1,4,50,0.075,40,10,1.4328,0.0269,spectinomycin,F4
0.033,0.0068,50,0.026,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,40,10,1.4355,0.0291,spectinomycin,E5
0.099,0.068,50,0.078,10,2,1.5,0.1,9,1.5,0.1,4,50,0.225,40,10,1.4385,0.0569,spectinomycin,O8
0.033,0.0204,50,0.078,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.4431,0.1326,spectinomycin,P8
0.033,0.0068,50,0.26,10,2,1.5,0.1,9,0.15,0.02,4,50,0.075,40,10,1.4439,0.0168,spectinomycin,E14
0.33,0.0068,50,0.026,10,2,1.5,0.1,9,0.45,0.1,4,50,0.075,40,10,1.4624,0.0134,spectinomycin,J10
0.033,0.034,50,0.13,10,2,1.5,0.3,9,0.15,0.02,4,50,0.075,40,10,1.4728,0.0536,spectinomycin,E17
0.099,0.0068,50,0.026,10,2,1.5,0.1,9,1.5,0.1,4,50,0.075,40,10,1.4795,0.0413,spectinomycin,M9
0.099,0.0068,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,40,10,1.483,0.0413,spectinomycin,F7
0.033,0.0068,50,0.078,10,2,1.5,0.1,9,1.5,0.2,4,50,0.375,40,10,1.4894,0.1008,spectinomycin,N8
0.165,0.0068,50,0.078,10,2,1.5,0.1,9,0.45,0.02,4,50,0.075,40,10,1.4923,0.0045,spectinomycin,I16
0.033,0.068,50,0.13,10,2,1.5,0.1,9,1.5,0.06,4,50,0.075,40,10,1.5488,0.0093,spectinomycin,N6
