nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,value_1,value_2,value_3,well_1,well_2,well_3,mean,std,yield,yield_std,plaque_name
0.33,0.0068,50,0.13,10,2,1.5,0.3,9,0.15,0.1,4,50,0.075,80,10,35152,32325,30180,D23,E14,F5,32552.3,2036.2,1.6845,0.1245,plate_AL_8
0.099,0.034,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,34106,33520,30581,E2,E15,F6,32735.7,1542.2,1.6957,0.0943,plate_AL_8
0.099,0.068,50,0.078,10,2,1.5,0.3,9,0.15,0.06,4,50,0.225,80,10,31916,33261,29897,E3,E16,F7,31691.3,1382.5,1.6318,0.0845,plate_AL_8
0.165,0.0204,50,0.026,10,2,1.5,0.3,9,0.15,0.2,4,50,0.225,80,10,32412,33336,31693,E4,E17,F8,32480.3,672.5,1.6801,0.0411,plate_AL_8
0.033,0.068,50,0.13,10,2,1.5,0.1,9,0.15,0.1,4,50,0.225,80,10,26742,26927,26163,E5,E18,F9,26610.7,325.4,1.3212,0.0199,plate_AL_8
0.033,0.0068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,9605,8128,8632,F10,F12,F14,8788.3,613,0.2316,0.0375,plate_AL_8
0.033,0.068,50,0.26,10,2,1.5,0.1,9,0.15,0.06,4,50,0.075,80,10,24882,27453,26813,F11,F13,F15,26382.7,1092.8,1.3073,0.0668,plate_AL_8
0.099,0.0204,50,0.13,10,2,1.5,0.5,9,0.15,0.2,4,50,0.075,80,10,27062,28157,29761,F16,F18,F20,28326.7,1108.4,1.4261,0.0678,plate_AL_8
0.099,0.0204,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,10890,8731,8544,F17,F19,F21,9388.3,1064.6,0.2683,0.0651,plate_AL_8
0.165,0.068,50,0.026,10,2,1.5,0.5,9,0.15,0.1,4,50,0.225,80,10,28677,28856,-1,F22,F23,G2,28766.5,89.5,1.453,0.0055,plate_AL_8
0.33,0.0204,50,0.078,10,2,1.5,0.3,9,0.15,0.2,4,50,0.075,80,10,30366,30045,30300,G3,G6,G9,30237,138.4,1.5429,0.0085,plate_AL_8
0.165,0.0068,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,7826,7477,8604,G4,G7,G10,7969,471.1,0.1815,0.0288,plate_AL_8
0.099,0.068,50,0.026,10,2,1.5,1,9,0.15,0.06,4,50,0.225,80,10,7130,6376,6746,G5,G8,G11,6750.7,307.8,0.107,0.0188,plate_AL_8
0.33,0.068,50,0.078,10,2,1.5,0.5,9,0.15,0.06,4,50,0.075,80,10,28686,30588,31371,G12,G16,G20,30215,1127.4,1.5416,0.0689,plate_AL_8
0.165,0.068,50,0.13,10,2,1.5,0.1,9,0.15,0.2,4,50,0.075,80,10,28495,30092,29706,G13,G17,G21,29431,680.4,1.4936,0.0416,plate_AL_8
0.033,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,11084,10394,8493,G14,G18,G22,9990.3,1095.6,0.3051,0.067,plate_AL_8
0.165,0.0204,50,0.078,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,10382,8111,8382,G15,G19,G23,8958.3,1012.7,0.242,0.0619,plate_AL_8
0.165,0.068,50,0.13,10,2,1.5,1,9,0.15,0.1,4,50,0.075,80,10,7795,8742,10702,H2,H3,H4,9079.7,1210.6,0.2494,0.074,plate_AL_8
0.33,0.034,50,0.026,10,2,1.5,1,9,0.15,0.2,4,50,0.075,80,10,8948,7128,8722,H5,H7,H9,8266,810,0.1997,0.0495,plate_AL_8
