Name,Mean,Std
nad,0.20570917632674543,0.011098774468728635
folinic_acid,0.07843554164715408,0.02965805851228015
coa,-0.1324192819214281,0.029508316676800896
nucleo_mix,-0.9838632651694672,0.31794300873425696
spermidin,-1.4947894139296982,0.03850505964153298
pga,-2.437569456921851,0.21997539747431757
aa,1.053231824477559,0.04628785909193895
trna,0.07320338592081341,0.0269694620460496
mg_gluta,0.7954380680106976,0.1292485214354523
camp,-0.3649410605354875,0.046394902110587236
K_gluta,0.680742133379316,0.20080285497763156
intercept,1.7298278965986438,0.12257784261106357
