Name,Mean
nad,[0]
folinic_acid,[0.02623669]
coa,[0.03275248]
nucleo_mix,[0.69475605]
spermidin,[0.40642426]
pga,[0.43022609]
aa,[0.28804205]
trna,[0.00379209]
mg_gluta,[0.66387156]
camp,[0.15815189]
K_gluta,[0.75121942]
